1,,568096c0c5767f00121cca3f
1,,568096c0c5767f00121cca3f
2,PlayerDetails,568096c0c5767f00121cca3f
3,GameCompleted,finished
4,Selected ponds in the game,C6===C4====
5,Pond11_Type,RT
6,Pond11_,
7,Pond9_Type,RT
8,Pond9_,
9,Pond2_Type,RD
10,Pond2_,
11,Pond3_Type,RD
12,Pond3_,
13,Pond6_Type,RD
14,Pond6_,
15,Pond10_Type,RT
16,Pond10_,
17,Pond7_Type,RT
18,Pond7_,
19,Pond4_Type,RT
20,Pond4_,
21,Pond5_Type,RT
22,Pond5_,
23,Pond1_Type,RD
24,Pond1_,
25,Pond8_Type,RD
26,Pond8_,
27,GameTime,1200
28,FishVisibilityTime,2
29,SecondPerFishRatio,60
30,MissingThreshold,5
31,RD,GoldFish
32,Probability,0
33,RD,GoldFish
34,Outcome,20
35,RD,BlueFish
36,Probability,0.9
37,RD,BlueFish
38,Outcome,12
39,RD,GreenFish
40,Probability,0
41,RD,GreenFish
42,Outcome,11
43,RD,PurpleFish
44,Probability,0
45,RD,PurpleFish
46,Outcome,10
47,RD,GreyFish
48,Probability,0.1
49,RD,GreyFish
50,Outcome,2
51,RT,GoldFish
52,Probability,0.1
53,RT,GoldFish
54,Outcome,20
55,RT,BlueFish
56,Probability,0
57,RT,BlueFish
58,Outcome,12
59,RT,GreenFish
60,Probability,0
61,RT,GreenFish
62,Outcome,11
63,RT,PurpleFish
64,Probability,0.9
65,RT,PurpleFish
66,Outcome,10
67,RT,GreyFish
68,Probability,0
69,RT,GreyFish
70,Outcome,2
71,N,GoldFish
72,Probability,0
73,N,GoldFish
74,Outcome,20
75,N,BlueFish
76,Probability,0
77,N,BlueFish
78,Outcome,12
79,N,GreenFish
80,Probability,1
81,N,GreenFish
82,Outcome,11
83,N,PurpleFish
84,Probability,0
85,N,PurpleFish
86,Outcome,10
87,N,GreyFish
88,Probability,0
89,N,GreyFish
90,Outcome,2
91,Date:,Sun Dec 22 2019 10:37:06 GMT+0000 (Greenwich Mean Time)
92,Type,RT
93,FishN,16
94,Fish,1
95,Pond11Fish1_FishType,purple
96,Pond11Fish1_FishLatency,3.75
97,Pond11Fish1_CatchTime,1.027
98,Pond11Fish1_PondTime,8.279
99,Pond11Fish1_PondOutcome,10
100,Pond11Fish1_TotalOutcome,10
101,Pond11Fish1_TimeLeft,1194.119
102,Type,RT
103,FishN,16
104,Fish,2
105,Pond11Fish2_FishType,purple
106,Pond11Fish2_FishLatency,4
107,Pond11Fish2_CatchTime,0.856
108,Pond11Fish2_PondTime,14.942
109,Pond11Fish2_PondOutcome,20
110,Pond11Fish2_TotalOutcome,20
111,Pond11Fish2_TimeLeft,1187.457
112,Type,RT
113,FishN,16
114,Fish,3
115,Pond11Fish3_FishType,purple
116,Pond11Fish3_FishLatency,4.285714286
117,Pond11Fish3_CatchTime,0.99
118,Pond11Fish3_PondTime,21.925
119,Pond11Fish3_PondOutcome,30
120,Pond11Fish3_TotalOutcome,30
121,Pond11Fish3_TimeLeft,1180.473
122,Type,RT
123,FishN,16
124,Fish,4
125,Pond11Fish4_FishType,purple
126,Pond11Fish4_FishLatency,4.615384615
127,Pond11Fish4_CatchTime,0.847
128,Pond11Fish4_PondTime,29.314
129,Pond11Fish4_PondOutcome,40
130,Pond11Fish4_TotalOutcome,40
131,Pond11Fish4_TimeLeft,1173.085
132,Type,RT
133,FishN,16
134,Fish,5
135,Pond11Fish5_FishType,purple
136,Pond11Fish5_FishLatency,5
137,Pond11Fish5_CatchTime,0.881
138,Pond11Fish5_PondTime,37.147
139,Pond11Fish5_PondOutcome,50
140,Pond11Fish5_TotalOutcome,50
141,Pond11Fish5_TimeLeft,1165.252
142,Type,RT
143,FishN,16
144,Fish,6
145,Pond11Fish6_FishType,purple
