,taly5
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,77
Pond6Fish4_TimeLeft,1115.329
Type,N
FishN,13
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.311
Pond6Fish5_PondTime,44.611
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,88
Pond6Fish5_TimeLeft,1105.442
Type,N
FishN,13
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.862
Pond6Fish6_PondTime,55.726
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,99
Pond6Fish6_TimeLeft,1094.327
Type,N
FishN,13
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,1.513
Pond6Fish7_PondTime,68.101
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,110
Pond6Fish7_TimeLeft,1081.952
Type,N
FishN,13
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.062
Pond6Fish8_PondTime,82.474
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,121
Pond6Fish8_TimeLeft,1067.579
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,1.841
PondTime,83.578
TimeLeft,1065.97
PondOutcome,77
TotalOutcome,121
PondStart,PondStart
PondIntroTime,14.844139004126191
Type,RD
FishN,12
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.936
Pond3Fish1_PondTime,9.752
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,133
Pond3Fish1_TimeLeft,1040.753
Type,RD
FishN,12
Fish,2
Pond3Fish2_FishType,gray
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.996
Pond3Fish2_PondTime,18.151
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,135
Pond3Fish2_TimeLeft,1032.355
Type,RD
FishN,12
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.177
Pond3Fish3_PondTime,27.214
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,147
Pond3Fish3_TimeLeft,1023.292
Type,RD
FishN,12
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.996
Pond3Fish4_PondTime,37.102
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,159
Pond3Fish4_TimeLeft,1013.404
Type,RD
FishN,12
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,-1
Pond3Fish5_PondTime,48.119
Pond3Fish5_PondOutcome,38
Pond3Fish5_TotalOutcome,159
Pond3Fish5_TimeLeft,1002.387
Type,RD
FishN,12
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.87
Pond3Fish6_PondTime,60.671
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,171
Pond3Fish6_TimeLeft,989.835
Type,RD
FishN,12
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,-1
Pond3Fish7_PondTime,75.121
Pond3Fish7_PondOutcome,50
Pond3Fish7_TotalOutcome,171
Pond3Fish7_TimeLeft,975.385
Type,RD
FishN,12
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,0.989
Pond3Fish8_PondTime,92.499
Pond3Fish8_PondOutcome,62
Pond3Fish8_TotalOutcome,183
Pond3Fish8_TimeLeft,958.006
Type,RD
FishN,12
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,1.108
Pond3Fish9_PondTime,114.901
Pond3Fish9_PondOutcome,74
Pond3Fish9_TotalOutcome,195
Pond3Fish9_TimeLeft,935.604
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,16.972
PondTime,131.176
TimeLeft,918.824
PondOutcome,74
TotalOutcome,195
PondStart,PondStart
PondIntroTime,14.976029873359948
