,59cdb4ea5894270001463f1f
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.192
Pond2Fish3_PondTime,27.15
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,160
Pond2Fish3_TimeLeft,1034.695
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.056
Pond2Fish4_PondTime,37.03
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,170
Pond2Fish4_TimeLeft,1024.815
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.927
Pond2Fish5_PondTime,47.961
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,180
Pond2Fish5_TimeLeft,1013.884
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.117
Pond2Fish6_PondTime,60.32
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,190
Pond2Fish6_TimeLeft,1001.525
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,1.817
PondTime,61.452
TimeLeft,999.891
PondOutcome,60
TotalOutcome,190
PondStart,PondStart
PondIntroTime,17.203118368051946
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.76
Pond5Fish1_PondTime,9.284
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,200
Pond5Fish1_TimeLeft,972.777
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.075
Pond5Fish2_PondTime,17.117
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,210
Pond5Fish2_TimeLeft,964.944
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.655
Pond5Fish3_PondTime,25.495
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,220
Pond5Fish3_TimeLeft,956.566
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.998
Pond5Fish4_PondTime,34.541
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,240
Pond5Fish4_TimeLeft,947.52
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.689
Pond5Fish5_PondTime,44.421
Pond5Fish5_PondOutcome,70
Pond5Fish5_TotalOutcome,260
Pond5Fish5_TimeLeft,937.64
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.121
Pond5Fish6_PondTime,55.365
Pond5Fish6_PondOutcome,80
Pond5Fish6_TotalOutcome,270
Pond5Fish6_TimeLeft,926.696
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.828
Pond5Fish7_PondTime,67.738
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,280
Pond5Fish7_TimeLeft,914.323
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.328
Pond5Fish8_PondTime,82.103
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,290
Pond5Fish8_TimeLeft,899.958
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.702
PondTime,82.341
TimeLeft,899.218
PondOutcome,100
TotalOutcome,290
PondStart,PondStart
PondIntroTime,12.041593559551984
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.178
Pond1Fish1_PondTime,7.812
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,300
Pond1Fish1_TimeLeft,878.737
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.151
Pond1Fish2_PondTime,13.929
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,310
Pond1Fish2_TimeLeft,872.62
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.949
Pond1Fish3_PondTime,20.296
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,320
Pond1Fish3_TimeLeft,866.253
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.95
Pond1Fish4_PondTime,26.951
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,330
Pond1Fish4_TimeLeft,859.598
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.651
Pond1Fish5_PondTime,33.934
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,340
Pond1Fish5_TimeLeft,852.615
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.934
Pond1Fish6_PondTime,41.315
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,350
Pond1Fish6_TimeLeft,845.234
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.897
Pond1Fish7_PondTime,49.139
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,370
Pond1Fish7_TimeLeft,837.41
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.951
Pond1Fish8_PondTime,57.521
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,380
Pond1Fish8_TimeLeft,829.028
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.952
Pond1Fish9_PondTime,66.561
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,390
Pond1Fish9_TimeLeft,819.988
PondEnd_LastFish,9
FishN,18
Type,RT
GiveUpTime,0.838
PondTime,76.311
TimeLeft,809.736
PondOutcome,100
TotalOutcome,390
PondStart,PondStart
PondIntroTime,17.731324401684105
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.231
Pond7Fish1_PondTime,8.041
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,400
Pond7Fish1_TimeLeft,783.324
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.745
Pond7Fish2_PondTime,14.408
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,410
Pond7Fish2_TimeLeft,776.957
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.949
Pond7Fish3_PondTime,21.074
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,420
Pond7Fish3_TimeLeft,770.291
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.123
Pond7Fish4_PondTime,28.066
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,430
Pond7Fish4_TimeLeft,763.299
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.469
Pond7Fish5_PondTime,35.428
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,440
Pond7Fish5_TimeLeft,755.937
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.134
Pond7Fish6_PondTime,43.249
Pond7Fish6_PondOutcome,60
