,5cecd5f590bfb10001ab24b2
PlayerDetails,5cecd5f590bfb10001ab24b2
GameCompleted,declined
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,15
Pond10_Type,RT
Pond10_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:38:55 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,8.334
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,0
Pond3Fish1_TimeLeft,1194.064
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.002
Pond3Fish2_PondTime,14.989
Pond3Fish2_PondOutcome,10
Pond3Fish2_TotalOutcome,10
Pond3Fish2_TimeLeft,1187.409
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.3
Pond3Fish3_PondTime,21.98
Pond3Fish3_PondOutcome,20
Pond3Fish3_TotalOutcome,20
Pond3Fish3_TimeLeft,1180.419
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.038
Pond3Fish4_PondTime,29.348
Pond3Fish4_PondOutcome,30
Pond3Fish4_TotalOutcome,30
Pond3Fish4_TimeLeft,1173.051
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.961
Pond3Fish5_PondTime,37.18
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
