,59aef156f235c20001a1a3a4
FishN,18
Fish,10
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,0.794
Pond5Fish10_PondTime,95.99
Pond5Fish10_PondOutcome,130
Pond5Fish10_TotalOutcome,950
Pond5Fish10_TimeLeft,228.579
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.382
PondTime,112.793
TimeLeft,211.272
PondOutcome,130
TotalOutcome,950
PondStart,PondStart
PondIntroTime,15.079196321312338
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,golden
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.787
Pond6Fish1_PondTime,8.947
Pond6Fish1_PondOutcome,20
Pond6Fish1_TotalOutcome,970
Pond6Fish1_TimeLeft,186.63
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.01
Pond6Fish2_PondTime,16.366
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,980
Pond6Fish2_TimeLeft,179.211
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.339
Pond6Fish3_PondTime,24.229
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,990
Pond6Fish3_TimeLeft,171.348
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.791
Pond6Fish4_PondTime,32.595
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,1000
Pond6Fish4_TimeLeft,162.982
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.585
Pond6Fish5_PondTime,41.62
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1010
Pond6Fish5_TimeLeft,153.956
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.817
Pond6Fish6_PondTime,51.509
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,1020
Pond6Fish6_TimeLeft,144.068
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.953
Pond6Fish7_PondTime,62.479
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,1030
Pond6Fish7_TimeLeft,133.098
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,0.884
Pond6Fish8_PondTime,74.859
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,1040
Pond6Fish8_TimeLeft,120.718
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.003
Pond6Fish9_PondTime,89.257
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,1050
Pond6Fish9_TimeLeft,106.32
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,0.892
Pond6Fish10_PondTime,106.629
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,1060
Pond6Fish10_TimeLeft,88.947
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.5
PondTime,128.66
TimeLeft,66.409
PondOutcome,110
TotalOutcome,1060
PondStart,PondStart
PondIntroTime,13.457416421733797
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.662
Pond7Fish1_PondTime,7.619
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,1080
Pond7Fish1_TimeLeft,44.652
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.755
Pond7Fish2_PondTime,13.549
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,1090
Pond7Fish2_TimeLeft,38.722
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.813
Pond7Fish3_PondTime,19.685
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,1100
Pond7Fish3_TimeLeft,32.586
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.075
Pond7Fish4_PondTime,26.092
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,1110
Pond7Fish4_TimeLeft,26.179
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.492
Pond7Fish5_PondTime,32.753
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,1120
Pond7Fish5_TimeLeft,19.518
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.097
Pond7Fish6_PondTime,39.73
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,1130
Pond7Fish6_TimeLeft,12.541
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,0.68
Pond7Fish7_PondTime,47.13
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,1140
Pond7Fish7_TimeLeft,5.141
