,57b9b4304b33280001acf11e
PlayerDetails,57b9b4304b33280001acf11e
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,12
Pond2_Type,RT
Pond2_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:25:18 GMT+0000 (GMT)
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,9.349
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,0
Pond1Fish1_TimeLeft,1193.049
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.087
Pond1Fish2_PondTime,17.17
Pond1Fish2_PondOutcome,10
Pond1Fish2_TotalOutcome,10
Pond1Fish2_TimeLeft,1185.228
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.39
Pond1Fish3_PondTime,25.548
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1176.85
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.276
Pond1Fish4_PondTime,34.583
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,50
Pond1Fish4_TimeLeft,1167.815
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.106
Pond1Fish5_PondTime,44.451
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1157.947
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,55.451
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,60
Pond1Fish6_TimeLeft,1146.946
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,13.271
PondTime,57.036
TimeLeft,1144.857
PondOutcome,60
TotalOutcome,60
PondStart,PondStart
PondIntroTime,14.034666556399316
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.597
Pond10Fish1_PondTime,9.743
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,70
Pond10Fish1_TimeLeft,1120.444
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.23
Pond10Fish2_PondTime,18.111
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,80
Pond10Fish2_TimeLeft,1112.076
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.41
Pond10Fish3_PondTime,27.14
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,90
Pond10Fish3_TimeLeft,1103.047
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.115
Pond10Fish4_PondTime,37.026
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,110
Pond10Fish4_TimeLeft,1093.16
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.45
Pond10Fish5_PondTime,47.961
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,120
Pond10Fish5_TimeLeft,1082.226
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.006
Pond10Fish6_PondTime,60.322
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,130
Pond10Fish6_TimeLeft,1069.865
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.351
Pond10Fish7_PondTime,74.683
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,140
Pond10Fish7_TimeLeft,1055.503
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.189
Pond10Fish8_PondTime,92.054
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,150
Pond10Fish8_TimeLeft,1038.133
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.494
PondTime,92.941
TimeLeft,1036.742
PondOutcome,90
TotalOutcome,150
PondStart,PondStart
PondIntroTime,11.268342845141888
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,9.789
Pond2Fish1_PondOutcome,0
