,5c9d28816b36c400013cc430
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,1.518
PondTime,130.3
TimeLeft,333.558
PondOutcome,130
TotalOutcome,860
PondStart,PondStart
PondIntroTime,18.54208283359185
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.19
Pond1Fish1_PondTime,9.762
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,870
Pond1Fish1_TimeLeft,304.62
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.332
Pond1Fish2_PondTime,18.192
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,880
Pond1Fish2_TimeLeft,296.19
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.564
Pond1Fish3_PondTime,27.272
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,890
Pond1Fish3_TimeLeft,287.109
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.451
Pond1Fish4_PondTime,37.204
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,900
Pond1Fish4_TimeLeft,277.178
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.087
Pond1Fish5_PondTime,48.224
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,910
Pond1Fish5_TimeLeft,266.158
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.57
Pond1Fish6_PondTime,60.621
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,920
Pond1Fish6_TimeLeft,253.761
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,1.002
PondTime,61.405
TimeLeft,252.474
PondOutcome,60
TotalOutcome,920
PondStart,PondStart
PondIntroTime,14.419494201429188
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.821
Pond5Fish1_PondTime,8.448
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,930
Pond5Fish1_TimeLeft,228.968
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.574
Pond5Fish2_PondTime,15.141
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,940
Pond5Fish2_TimeLeft,222.275
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.103
Pond5Fish3_PondTime,22.176
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,950
Pond5Fish3_TimeLeft,215.24
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.968
Pond5Fish4_PondTime,29.616
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,960
Pond5Fish4_TimeLeft,207.8
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.358
Pond5Fish5_PondTime,37.476
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,970
Pond5Fish5_TimeLeft,199.94
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.446
Pond5Fish6_PondTime,45.896
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,980
Pond5Fish6_TimeLeft,191.52
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.35
Pond5Fish7_PondTime,54.97
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,990
Pond5Fish7_TimeLeft,182.446
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.01
Pond5Fish8_PondTime,64.876
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,1000
Pond5Fish8_TimeLeft,172.54
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.06
Pond5Fish9_PondTime,75.876
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,1010
Pond5Fish9_TimeLeft,161.54
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.271
Pond5Fish10_PondTime,88.306
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,1020
Pond5Fish10_TimeLeft,149.11
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.404
Pond5Fish11_PondTime,102.727
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,1030
Pond5Fish11_TimeLeft,134.689
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,golden
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.43
Pond5Fish12_PondTime,120.146
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,1050
Pond5Fish12_TimeLeft,117.27
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.229
Pond5Fish13_PondTime,142.565
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,1060
Pond5Fish13_TimeLeft,94.851
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,1.121
PondTime,143.117
TimeLeft,93.796
PondOutcome,140
TotalOutcome,1060
PondStart,PondStart
PondIntroTime,19.05168571509421
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.529
Pond4Fish1_PondTime,8.953
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,1080
Pond4Fish1_TimeLeft,65.17
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.329
Pond4Fish2_PondTime,16.373
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,1090
Pond4Fish2_TimeLeft,57.75
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.294
Pond4Fish3_PondTime,24.244
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,1100
Pond4Fish3_TimeLeft,49.879
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.161
Pond4Fish4_PondTime,32.667
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,1110
Pond4Fish4_TimeLeft,41.456
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.293
Pond4Fish5_PondTime,41.762
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,1120
Pond4Fish5_TimeLeft,32.361
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.357
Pond4Fish6_PondTime,51.702
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,1130
Pond4Fish6_TimeLeft,22.421
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.368
Pond4Fish7_PondTime,62.722
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,1140
Pond4Fish7_TimeLeft,11.401
