,5c1a46e47fb37900018348c5
Pond3Fish3_CatchTime,1.186
Pond3Fish3_PondTime,21.916
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,140
Pond3Fish3_TimeLeft,1067.102
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.943
Pond3Fish4_PondTime,29.284
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,150
Pond3Fish4_TimeLeft,1059.734
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.226
Pond3Fish5_PondTime,37.099
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,160
Pond3Fish5_TimeLeft,1051.918
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.322
Pond3Fish6_PondTime,45.467
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,170
Pond3Fish6_TimeLeft,1043.551
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.21
Pond3Fish7_PondTime,54.5
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,180
Pond3Fish7_TimeLeft,1034.518
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,0.744
PondTime,64.227
TimeLeft,1024.286
PondOutcome,70
TotalOutcome,180
PondStart,PondStart
PondIntroTime,14.715811125934124
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.544
Pond6Fish1_PondTime,8.017
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,190
Pond6Fish1_TimeLeft,1000.918
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.969
Pond6Fish2_PondTime,14.383
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,200
Pond6Fish2_TimeLeft,994.551
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.98
Pond6Fish3_PondTime,21.034
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,210
Pond6Fish3_TimeLeft,987.901
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.87
Pond6Fish4_PondTime,28.017
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,220
Pond6Fish4_TimeLeft,980.918
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.152
Pond6Fish5_PondTime,35.384
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,230
