,taly44
PlayerDetails,taly44
GameCompleted,exited
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 08:07:30 GMT+0200 (Israel Standard Time)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.588
Pond7Fish1_PondTime,8.92
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1193.477
PondEnd_LastFish,1
FishN,14
Type,RT
GiveUpTime,2.831
PondTime,11.532
TimeLeft,1190.356
PondOutcome,10
TotalOutcome,10
PondStart,PondStart
PondIntroTime,12.541549077723175
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.362
Pond2Fish1_PondTime,7.87
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,20
Pond2Fish1_TimeLeft,1169.32
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.486
Pond2Fish2_PondTime,14.048
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,30
Pond2Fish2_TimeLeft,1163.142
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.261
Pond2Fish3_PondTime,20.441
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,40
Pond2Fish3_TimeLeft,1156.749
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,-1
Pond2Fish4_PondTime,27.172
Pond2Fish4_PondOutcome,30
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1150.018
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.596
Pond2Fish5_PondTime,34.177
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1143.013
PondEnd_LastFish,5
FishN,18
Type,RT
GiveUpTime,1.113
PondTime,35.084
TimeLeft,1141.6
PondOutcome,40
TotalOutcome,50
PondStart,PondStart
PondIntroTime,16.769316256977618
