,5e1225054acfb98ae08e0cb7
Fish,8
Pond10Fish8_FishType,golden
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.339
Pond10Fish8_PondTime,61.163
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,900
Pond10Fish8_TimeLeft,225.77
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.596
Pond10Fish9_PondTime,71.067
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,910
Pond10Fish9_TimeLeft,215.867
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.388
Pond10Fish10_PondTime,82.059
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,920
Pond10Fish10_TimeLeft,204.875
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,golden
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.512
Pond10Fish11_PondTime,94.455
Pond10Fish11_PondOutcome,130
Pond10Fish11_TotalOutcome,940
Pond10Fish11_TimeLeft,192.479
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.844
Pond10Fish12_PondTime,109.004
Pond10Fish12_PondOutcome,140
Pond10Fish12_TotalOutcome,950
Pond10Fish12_TimeLeft,177.93
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.546
Pond10Fish13_PondTime,126.405
Pond10Fish13_PondOutcome,150
Pond10Fish13_TotalOutcome,960
Pond10Fish13_TimeLeft,160.529
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,13.428
PondTime,139.556
TimeLeft,146.875
PondOutcome,150
TotalOutcome,960
PondStart,PondStart
PondIntroTime,18.365991932805628
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.448
Pond3Fish1_PondTime,8.303
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,970
Pond3Fish1_TimeLeft,119.595
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.749
Pond3Fish2_PondTime,15.065
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,980
Pond3Fish2_TimeLeft,112.833
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.366
Pond3Fish3_PondTime,22.075
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,990
Pond3Fish3_TimeLeft,105.823
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.668
Pond3Fish4_PondTime,29.453
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,1000
Pond3Fish4_TimeLeft,98.445
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.469
Pond3Fish5_PondTime,37.308
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,1010
Pond3Fish5_TimeLeft,90.59
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.671
Pond3Fish6_PondTime,45.673
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,1020
Pond3Fish6_TimeLeft,82.225
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.496
Pond3Fish7_PondTime,54.747
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,1030
Pond3Fish7_TimeLeft,73.151
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.29
Pond3Fish8_PondTime,64.655
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,1040
Pond3Fish8_TimeLeft,63.243
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.653
Pond3Fish9_PondTime,75.615
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,1050
Pond3Fish9_TimeLeft,52.283
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.579
Pond3Fish10_PondTime,88.019
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,1060
Pond3Fish10_TimeLeft,39.879
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,13.08
PondTime,100.856
TimeLeft,26.529
PondOutcome,100
TotalOutcome,1060
PondStart,PondStart
PondIntroTime,19.25409630406648
