,5c3d36edababef0001603f67
Pond2Fish1_CatchTime,1.772
Pond2Fish1_PondTime,9.344
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,120
Pond2Fish1_TimeLeft,696.092
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.4
Pond2Fish2_PondTime,17.163
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,140
Pond2Fish2_TimeLeft,688.273
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,25.574
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,140
Pond2Fish3_TimeLeft,679.862
