,5ddc0163f14b5a033bd7e4f5
PlayerDetails,5ddc0163f14b5a033bd7e4f5
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,15
Pond6_Type,RT
Pond6_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,13
Pond4_Type,RT
Pond4_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:52:29 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.226
Pond3Fish1_PondTime,8.924
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.473
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.947
Pond3Fish2_PondTime,16.313
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1186.085
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.306
Pond3Fish3_PondTime,24.171
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1178.227
Type,RT
FishN,18
Fish,4
