,5cb912a2e254c8001754eabd
Pond1Fish1_TotalOutcome,150
Pond1Fish1_TimeLeft,1046.568
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.339
Pond1Fish2_PondTime,13.933
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,160
Pond1Fish2_TimeLeft,1040.449
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.992
Pond1Fish3_PondTime,20.306
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,170
Pond1Fish3_TimeLeft,1034.065
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.963
Pond1Fish4_PondTime,26.987
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,190
Pond1Fish4_TimeLeft,1027.395
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.073
Pond1Fish5_PondTime,33.999
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,210
Pond1Fish5_TimeLeft,1020.383
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.133
Pond1Fish6_PondTime,41.396
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,220
Pond1Fish6_TimeLeft,1012.986
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.303
Pond1Fish7_PondTime,49.215
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,230
Pond1Fish7_TimeLeft,1005.167
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.872
Pond1Fish8_PondTime,57.587
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,240
Pond1Fish8_TimeLeft,996.795
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.802
Pond1Fish9_PondTime,66.64
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,250
Pond1Fish9_TimeLeft,987.742
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.034
Pond1Fish10_PondTime,76.52
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,260
Pond1Fish10_TimeLeft,977.862
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.036
Pond1Fish11_PondTime,87.457
Pond1Fish11_PondOutcome,130
Pond1Fish11_TotalOutcome,270
Pond1Fish11_TimeLeft,966.925
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,0.799
PondTime,87.503
TimeLeft,966.374
PondOutcome,130
TotalOutcome,270
PondStart,PondStart
PondIntroTime,19.519278013613075
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.152
Pond2Fish1_PondTime,7.635
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,290
Pond2Fish1_TimeLeft,938.575
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.203
Pond2Fish2_PondTime,13.544
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,300
Pond2Fish2_TimeLeft,932.666
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.114
Pond2Fish3_PondTime,19.663
Pond2Fish3_PondOutcome,50
Pond2Fish3_TotalOutcome,320
Pond2Fish3_TimeLeft,926.547
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.359
Pond2Fish4_PondTime,26.048
Pond2Fish4_PondOutcome,60
Pond2Fish4_TotalOutcome,330
Pond2Fish4_TimeLeft,920.162
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.991
Pond2Fish5_PondTime,32.701
Pond2Fish5_PondOutcome,80
Pond2Fish5_TotalOutcome,350
Pond2Fish5_TimeLeft,913.509
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
