,5e17612b76f4a105cd8996cd
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,180
Pond2Fish6_TimeLeft,1054.695
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.55
Pond2Fish7_PondTime,51.559
Pond2Fish7_PondOutcome,90
Pond2Fish7_TotalOutcome,190
Pond2Fish7_TimeLeft,1046.334
PondEnd_LastFish,7
FishN,17
Type,RT
GiveUpTime,1.118
PondTime,60.47
TimeLeft,1036.922
PondOutcome,90
TotalOutcome,190
PondStart,PondStart
PondIntroTime,17.506204296369106
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.563
Pond5Fish1_PondTime,7.798
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,200
Pond5Fish1_TimeLeft,1010.987
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.681
Pond5Fish2_PondTime,13.913
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,210
Pond5Fish2_TimeLeft,1004.872
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.46
Pond5Fish3_PondTime,20.275
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,220
Pond5Fish3_TimeLeft,998.51
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.925
Pond5Fish4_PondTime,26.922
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,230
Pond5Fish4_TimeLeft,991.863
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.739
Pond5Fish5_PondTime,33.902
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,240
Pond5Fish5_TimeLeft,984.883
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.722
Pond5Fish6_PondTime,41.265
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,250
Pond5Fish6_TimeLeft,977.52
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.672
Pond5Fish7_PondTime,49.078
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,260
Pond5Fish7_TimeLeft,969.707
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.523
Pond5Fish8_PondTime,57.439
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,270
Pond5Fish8_TimeLeft,961.346
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.743
Pond5Fish9_PondTime,66.469
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,280
Pond5Fish9_TimeLeft,952.316
PondEnd_LastFish,9
FishN,18
Type,RT
GiveUpTime,0.583
PondTime,75.56
TimeLeft,942.722
PondOutcome,90
TotalOutcome,280
PondStart,PondStart
PondIntroTime,13.464942127466202
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,0.848
Pond3Fish1_PondTime,8.564
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,290
Pond3Fish1_TimeLeft,920.068
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.8
Pond3Fish2_PondTime,15.543
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,300
Pond3Fish2_TimeLeft,913.089
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.748
Pond3Fish3_PondTime,22.909
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,310
Pond3Fish3_TimeLeft,905.723
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.261
Pond3Fish4_PondTime,30.719
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,320
Pond3Fish4_TimeLeft,897.913
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1
Pond3Fish5_PondTime,39.083
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,340
Pond3Fish5_TimeLeft,889.548
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.634
Pond3Fish6_PondTime,48.111
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,350
Pond3Fish6_TimeLeft,880.521
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.785
Pond3Fish7_PondTime,57.973
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,360
Pond3Fish7_TimeLeft,870.659
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,0.948
Pond3Fish8_PondTime,68.901
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,370
Pond3Fish8_TimeLeft,859.731
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,0.964
Pond3Fish9_PondTime,81.261
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,380
Pond3Fish9_TimeLeft,847.371
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,0.855
PondTime,95.355
TimeLeft,832.774
PondOutcome,100
TotalOutcome,380
PondStart,PondStart
PondIntroTime,15.97104414831847
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.807
Pond4Fish1_PondTime,8.04
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,390
Pond4Fish1_TimeLeft,808.109
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,14.468
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,390
Pond4Fish2_TimeLeft,801.681
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.466
Pond4Fish3_PondTime,21.117
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,410
Pond4Fish3_TimeLeft,795.032
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.799
Pond4Fish4_PondTime,28.097
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,420
Pond4Fish4_TimeLeft,788.052
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.086
Pond4Fish5_PondTime,35.46
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,430
Pond4Fish5_TimeLeft,780.689
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.789
Pond4Fish6_PondTime,43.272
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,440
Pond4Fish6_TimeLeft,772.877
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.73
Pond4Fish7_PondTime,51.635
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,450
Pond4Fish7_TimeLeft,764.514
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.723
Pond4Fish8_PondTime,60.664
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,460
Pond4Fish8_TimeLeft,755.485
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,golden
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.48
Pond4Fish9_PondTime,70.525
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,480
Pond4Fish9_TimeLeft,745.624
PondEnd_LastFish,9
FishN,17
Type,RT
GiveUpTime,0.325
PondTime,80.692
TimeLeft,734.954
PondOutcome,100
TotalOutcome,480
PondStart,PondStart
PondIntroTime,10.198431762401015
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.64
Pond11Fish1_PondTime,10.175
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,490
Pond11Fish1_TimeLeft,712.258
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.59
Pond11Fish2_PondTime,18.537
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,500
Pond11Fish2_TimeLeft,703.895
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.718
Pond11Fish3_PondTime,27.565
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,510
Pond11Fish3_TimeLeft,694.868
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.848
Pond11Fish4_PondTime,37.427
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,520
Pond11Fish4_TimeLeft,685.006
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.272
Pond11Fish5_PondTime,48.354
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,530
Pond11Fish5_TimeLeft,674.079
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,0.837
Pond11Fish6_PondTime,60.716
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,540
Pond11Fish6_TimeLeft,661.717
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.44
PondTime,74.312
TimeLeft,647.62
PondOutcome,60
TotalOutcome,540
PondStart,PondStart
PondIntroTime,14.47849482530728
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.524
Pond9Fish1_PondTime,9.28
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,560
Pond9Fish1_TimeLeft,621.556
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.653
Pond9Fish2_PondTime,17.094
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,570
Pond9Fish2_TimeLeft,613.742
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.818
Pond9Fish3_PondTime,25.803
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,580
Pond9Fish3_TimeLeft,605.033
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.801
