,5e17612b76f4a105cd8996cd
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,890
Pond12Fish7_TimeLeft,220.897
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.538
Pond12Fish8_PondTime,57.439
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,900
Pond12Fish8_TimeLeft,212.534
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.542
Pond12Fish9_PondTime,66.467
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,910
Pond12Fish9_TimeLeft,203.506
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.11
Pond12Fish10_PondTime,76.327
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,920
Pond12Fish10_TimeLeft,193.646
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,0.758
Pond12Fish11_PondTime,87.256
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,930
Pond12Fish11_TimeLeft,182.717
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,0.39
PondTime,98.736
TimeLeft,170.735
PondOutcome,110
TotalOutcome,930
PondStart,PondStart
PondIntroTime,13.72685919282958
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.696
Pond1Fish1_PondTime,7.612
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,940
Pond1Fish1_TimeLeft,148.771
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.705
Pond1Fish2_PondTime,13.511
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,950
Pond1Fish2_TimeLeft,142.872
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.655
Pond1Fish3_PondTime,19.623
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,960
Pond1Fish3_TimeLeft,136.76
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.58
Pond1Fish4_PondTime,25.988
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,970
Pond1Fish4_TimeLeft,130.395
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.481
Pond1Fish5_PondTime,32.635
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,980
Pond1Fish5_TimeLeft,123.748
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.589
Pond1Fish6_PondTime,39.615
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,1000
Pond1Fish6_TimeLeft,116.768
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.787
Pond1Fish7_PondTime,46.979
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,1010
Pond1Fish7_TimeLeft,109.404
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.579
Pond1Fish8_PondTime,54.79
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,1020
Pond1Fish8_TimeLeft,101.593
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.857
Pond1Fish9_PondTime,63.153
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,1030
Pond1Fish9_TimeLeft,93.23
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.559
Pond1Fish10_PondTime,72.18
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,1040
Pond1Fish10_TimeLeft,84.203
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.563
Pond1Fish11_PondTime,82.044
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,1050
Pond1Fish11_TimeLeft,74.339
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.635
Pond1Fish12_PondTime,92.985
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,1060
Pond1Fish12_TimeLeft,63.397
Type,RT
FishN,13
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.592
Pond1Fish13_PondTime,105.348
Pond1Fish13_PondOutcome,140
Pond1Fish13_TotalOutcome,1070
Pond1Fish13_TimeLeft,51.035
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.713
PondTime,119.216
TimeLeft,36.665
PondOutcome,140
TotalOutcome,1070
PondStart,PondStart
PondIntroTime,13.194473318289965
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.72
Pond7Fish1_PondTime,7.796
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,1080
Pond7Fish1_TimeLeft,15.039
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.558
Pond7Fish2_PondTime,13.911
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,1090
Pond7Fish2_TimeLeft,8.925
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.505
Pond7Fish3_PondTime,20.275
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,1100
Pond7Fish3_TimeLeft,2.561
