,5c28ca1570d93a00012139d0
Pond1Fish5_PondTime,39.478
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,810
Pond1Fish5_TimeLeft,353.265
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.141
Pond1Fish6_PondTime,48.557
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,830
Pond1Fish6_TimeLeft,344.188
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,0.741
Pond1Fish7_PondTime,58.457
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,840
Pond1Fish7_TimeLeft,334.288
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,1.403
PondTime,58.801
TimeLeft,333.442
PondOutcome,90
TotalOutcome,840
PondStart,PondStart
PondIntroTime,10.860308720730245
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.035
Pond2Fish1_PondTime,8.271
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,850
Pond2Fish1_TimeLeft,313.687
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.717
Pond2Fish2_PondTime,14.952
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,860
Pond2Fish2_TimeLeft,307.006
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.748
Pond2Fish3_PondTime,21.95
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,870
Pond2Fish3_TimeLeft,300.008
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.909
Pond2Fish4_PondTime,29.323
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,880
Pond2Fish4_TimeLeft,292.635
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.846
Pond2Fish5_PondTime,37.158
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,890
Pond2Fish5_TimeLeft,284.8
PondEnd_LastFish,5
FishN,16
Type,RT
GiveUpTime,2.344
PondTime,38.554
TimeLeft,282.893
PondOutcome,50
TotalOutcome,890
PondStart,PondStart
PondIntroTime,18.11298503074795
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.836
Pond7Fish1_PondTime,9.741
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,900
Pond7Fish1_TimeLeft,254.425
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.133
Pond7Fish2_PondTime,18.138
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,910
Pond7Fish2_TimeLeft,246.028
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.578
Pond7Fish3_PondTime,27.2
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,920
Pond7Fish3_TimeLeft,236.966
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.667
Pond7Fish4_PondTime,37.085
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,930
Pond7Fish4_TimeLeft,227.081
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.979
Pond7Fish5_PondTime,48.065
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,940
Pond7Fish5_TimeLeft,216.101
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,1.511
PondTime,48.732
TimeLeft,214.93
PondOutcome,50
TotalOutcome,940
PondStart,PondStart
PondIntroTime,18.546515631023794
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,1.823
PondTime,49.044
TimeLeft,214.618
PondOutcome,0
TotalOutcome,940
PondStart,PondStart
PondIntroTime,10.626795827411115
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,golden
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.551
Pond10Fish1_PondTime,1.286
Pond10Fish1_PondOutcome,20
Pond10Fish1_TotalOutcome,960
Pond10Fish1_TimeLeft,195.273
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.959
Pond10Fish3_PondTime,7.966
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,980
Pond10Fish3_TimeLeft,188.593
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,8.917
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,980
Pond10Fish4_TimeLeft,187.642
