,58f10189738cac000116d3ab
PlayerDetails,58f10189738cac000116d3ab
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,14
Pond11_Type,RT
Pond11_#Fishes,17
Pond7_Type,RT
Pond7_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 02:26:32 GMT-0500 (Eastern Standard Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,8.968
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,0
Pond6Fish1_TimeLeft,1193.428
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.798
Pond6Fish2_PondTime,16.66
Pond6Fish2_PondOutcome,10
Pond6Fish2_TotalOutcome,10
Pond6Fish2_TimeLeft,1185.737
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,2.05
Pond6Fish3_PondTime,24.549
Pond6Fish3_PondOutcome,20
Pond6Fish3_TotalOutcome,20
Pond6Fish3_TimeLeft,1177.847
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,-1
Pond6Fish4_PondTime,32.984
Pond6Fish4_PondOutcome,20
Pond6Fish4_TotalOutcome,20
Pond6Fish4_TimeLeft,1169.412
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,42.083
Pond6Fish5_PondOutcome,20
Pond6Fish5_TotalOutcome,20
Pond6Fish5_TimeLeft,1160.314
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,golden
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,-1
Pond6Fish6_PondTime,52.001
Pond6Fish6_PondOutcome,20
Pond6Fish6_TotalOutcome,20
Pond6Fish6_TimeLeft,1150.396
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,30.344
PondTime,54.793
TimeLeft,1147.097
PondOutcome,20
TotalOutcome,20
PondStart,PondStart
PondIntroTime,17.651311971712857
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.445
Pond11Fish1_PondTime,8.027
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,30
Pond11Fish1_TimeLeft,1120.777
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
