,5be72cf025507300010d8872
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.066
Pond8Fish6_PondTime,45.505
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,160
Pond8Fish6_TimeLeft,1048.766
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.722
Pond8Fish7_PondTime,54.553
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,170
Pond8Fish7_TimeLeft,1039.717
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.903
Pond8Fish8_PondTime,64.421
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,180
Pond8Fish8_TimeLeft,1029.85
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,0.843
Pond8Fish9_PondTime,75.381
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,190
Pond8Fish9_TimeLeft,1018.89
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.945
Pond8Fish10_PondTime,87.764
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,200
Pond8Fish10_TimeLeft,1006.507
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,12.946
PondTime,99.855
TimeLeft,993.91
PondOutcome,100
TotalOutcome,200
PondStart,PondStart
PondIntroTime,18.265190334059298
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.695
Pond10Fish1_PondTime,8.288
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,210
Pond10Fish1_TimeLeft,966.738
Type,RT
FishN,16
Fish,2
