,5aa787c66219a30001c765f8
PlayerDetails,5aa787c66219a30001c765f8
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,15
Pond1_Type,RT
Pond1_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 17:58:01 GMT+0100 (Central European Standard Time)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.19
Pond2Fish1_PondTime,8.888
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1193.51
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.992
Pond2Fish2_PondTime,16.247
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1186.152
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.005
Pond2Fish3_PondTime,24.058
Pond2Fish3_PondOutcome,30
