,5c095473928943000108805c
PlayerDetails,5c095473928943000108805c
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,17
Pond10_Type,RT
Pond10_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,15
Pond1_Type,RT
Pond1_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 01:45:16 GMT-0500 (Eastern Standard Time)
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.973
Pond12Fish1_PondTime,8.304
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1194.095
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.314
Pond12Fish2_PondTime,15.002
