,5d89d199b97096000113dbd7
Pond2Fish2_CatchTime,0.91
Pond2Fish2_PondTime,17.227
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,950
Pond2Fish2_TimeLeft,188.696
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.173
Pond2Fish3_PondTime,25.646
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,960
Pond2Fish3_TimeLeft,180.276
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.77
Pond2Fish4_PondTime,35.243
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,970
Pond2Fish4_TimeLeft,170.68
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.513
Pond2Fish5_PondTime,45.19
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,980
Pond2Fish5_TimeLeft,160.733
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.832
Pond2Fish6_PondTime,56.223
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,990
Pond2Fish6_TimeLeft,149.699
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.801
Pond2Fish7_PondTime,68.69
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,1000
Pond2Fish7_TimeLeft,137.233
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.746
Pond2Fish8_PondTime,83.138
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,1010
Pond2Fish8_TimeLeft,122.785
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.141
Pond2Fish9_PondTime,100.592
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,1020
Pond2Fish9_TimeLeft,105.331
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,golden
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,0.579
Pond2Fish10_PondTime,123.024
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,1040
Pond2Fish10_TimeLeft,82.899
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,1.895
PondTime,123.693
TimeLeft,81.724
PondOutcome,110
TotalOutcome,1040
PondStart,PondStart
PondIntroTime,11.140385528560728
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.632
Pond11Fish1_PondTime,9.337
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,1050
Pond11Fish1_TimeLeft,60.526
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,17.289
Pond11Fish2_PondOutcome,10
Pond11Fish2_TotalOutcome,1050
Pond11Fish2_TimeLeft,52.574
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.893
Pond11Fish3_PondTime,25.736
Pond11Fish3_PondOutcome,20
Pond11Fish3_TotalOutcome,1060
Pond11Fish3_TimeLeft,44.127
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.9
Pond11Fish4_PondTime,34.869
Pond11Fish4_PondOutcome,30
Pond11Fish4_TotalOutcome,1070
Pond11Fish4_TimeLeft,34.994
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.055
Pond11Fish5_PondTime,44.798
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,1080
Pond11Fish5_TimeLeft,25.065
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.819
Pond11Fish6_PondTime,55.829
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,1090
Pond11Fish6_TimeLeft,14.033
