,5d17a2f44c7891001601beec
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,150
Pond12Fish8_TimeLeft,1040.072
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.021
Pond12Fish9_PondTime,75.275
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,160
Pond12Fish9_TimeLeft,1029.144
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.071
Pond12Fish10_PondTime,87.636
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,170
Pond12Fish10_TimeLeft,1016.783
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,0.468
PondTime,101.881
TimeLeft,1002.035
PondOutcome,100
TotalOutcome,170
PondStart,PondStart
PondIntroTime,12.260293962899595
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.019
Pond6Fish1_PondTime,9.73
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,180
Pond6Fish1_TimeLeft,979.43
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.333
Pond6Fish2_PondTime,18.095
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,190
Pond6Fish2_TimeLeft,971.065
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.374
Pond6Fish3_PondTime,27.125
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,200
Pond6Fish3_TimeLeft,962.035
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.823
Pond6Fish4_PondTime,36.988
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,210
Pond6Fish4_TimeLeft,952.172
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.152
Pond6Fish5_PondTime,47.919
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,220
Pond6Fish5_TimeLeft,941.241
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.037
Pond6Fish6_PondTime,60.281
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,230
Pond6Fish6_TimeLeft,928.879
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.138
Pond6Fish7_PondTime,74.643
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,240
Pond6Fish7_TimeLeft,914.517
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,0.437
PondTime,91.888
TimeLeft,896.769
PondOutcome,70
TotalOutcome,240
PondStart,PondStart
PondIntroTime,19.14222286781296
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,12.663
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,250
Pond3Fish1_TimeLeft,864.351
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,23.663
Pond3Fish2_PondOutcome,10
Pond3Fish2_TotalOutcome,250
Pond3Fish2_TimeLeft,853.351
PondEnd_LastFish,2
FishN,16
Type,RT
GiveUpTime,47.35
PondTime,29.405
TimeLeft,847.107
PondOutcome,10
TotalOutcome,250
PondStart,PondStart
PondIntroTime,15.435944544151425
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.806
Pond1Fish1_PondTime,8.566
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,260
Pond1Fish1_TimeLeft,822.464
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.903
Pond1Fish2_PondTime,15.546
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,270
Pond1Fish2_TimeLeft,815.484
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,0.764
Pond1Fish3_PondTime,22.911
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,280
Pond1Fish3_TimeLeft,808.119
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.872
Pond1Fish4_PondTime,30.725
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,300
Pond1Fish4_TimeLeft,800.305
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,0.763
Pond1Fish5_PondTime,39.088
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,320
Pond1Fish5_TimeLeft,791.942
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.453
Pond1Fish6_PondTime,48.118
Pond1Fish6_PondOutcome,90
Pond1Fish6_TotalOutcome,340
Pond1Fish6_TimeLeft,782.912
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.076
Pond1Fish7_PondTime,57.982
Pond1Fish7_PondOutcome,100
Pond1Fish7_TotalOutcome,350
Pond1Fish7_TimeLeft,773.048
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.163
Pond1Fish8_PondTime,68.911
Pond1Fish8_PondOutcome,110
Pond1Fish8_TotalOutcome,360
Pond1Fish8_TimeLeft,762.119
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.176
Pond1Fish9_PondTime,81.275
Pond1Fish9_PondOutcome,120
Pond1Fish9_TotalOutcome,370
Pond1Fish9_TimeLeft,749.754
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,0.911
Pond1Fish10_PondTime,95.636
Pond1Fish10_PondOutcome,130
Pond1Fish10_TotalOutcome,380
Pond1Fish10_TimeLeft,735.394
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.696
PondTime,112.79
TimeLeft,717.739
PondOutcome,130
TotalOutcome,380
PondStart,PondStart
PondIntroTime,17.683673969004303
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.196
Pond2Fish1_PondTime,8.88
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,390
Pond2Fish1_TimeLeft,690.56
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,16.31
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,390
Pond2Fish2_TimeLeft,683.13
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.207
