,5c66cc2942faef00012849c7
Pond6Fish3_PondTime,21.471
Pond6Fish3_PondOutcome,50
Pond6Fish3_TotalOutcome,190
Pond6Fish3_TimeLeft,1034.305
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.297
Pond6Fish4_PondTime,28.441
Pond6Fish4_PondOutcome,60
Pond6Fish4_TotalOutcome,200
Pond6Fish4_TimeLeft,1027.335
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.334
Pond6Fish5_PondTime,35.808
Pond6Fish5_PondOutcome,70
Pond6Fish5_TotalOutcome,210
Pond6Fish5_TimeLeft,1019.968
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.309
Pond6Fish6_PondTime,43.624
Pond6Fish6_PondOutcome,80
Pond6Fish6_TotalOutcome,220
Pond6Fish6_TimeLeft,1012.152
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.907
Pond6Fish7_PondTime,51.987
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,230
Pond6Fish7_TimeLeft,1003.789
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.739
Pond6Fish8_PondTime,61.019
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,240
Pond6Fish8_TimeLeft,994.757
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.531
Pond6Fish9_PondTime,70.88
Pond6Fish9_PondOutcome,110
Pond6Fish9_TotalOutcome,250
Pond6Fish9_TimeLeft,984.895
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.977
Pond6Fish10_PondTime,81.811
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,260
Pond6Fish10_TimeLeft,973.965
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,0.72
PondTime,93.927
TimeLeft,961.345
PondOutcome,120
TotalOutcome,260
PondStart,PondStart
PondIntroTime,10.012316931970417
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.971
Pond12Fish1_PondTime,9.265
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,270
Pond12Fish1_TimeLeft,941.456
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.726
Pond12Fish2_PondTime,17.078
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,280
Pond12Fish2_TimeLeft,933.643
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.025
Pond12Fish3_PondTime,25.442
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,290
Pond12Fish3_TimeLeft,925.279
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.13
Pond12Fish4_PondTime,34.473
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,300
Pond12Fish4_TimeLeft,916.247
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.665
Pond12Fish5_PondTime,44.336
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,310
Pond12Fish5_TimeLeft,906.385
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.215
Pond12Fish6_PondTime,55.271
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,320
Pond12Fish6_TimeLeft,895.45
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,-1
Pond12Fish7_PondTime,67.68
Pond12Fish7_PondOutcome,60
Pond12Fish7_TotalOutcome,320
Pond12Fish7_TimeLeft,883.041
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.264
Pond12Fish8_PondTime,82.044
Pond12Fish8_PondOutcome,70
Pond12Fish8_TotalOutcome,330
Pond12Fish8_TimeLeft,868.677
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,8.306
PondTime,89.814
TimeLeft,860.405
PondOutcome,70
TotalOutcome,330
PondStart,PondStart
PondIntroTime,14.783630722668022
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.108
Pond10Fish1_PondTime,8.016
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,340
Pond10Fish1_TimeLeft,836.983
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.011
Pond10Fish2_PondTime,14.377
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,350
Pond10Fish2_TimeLeft,830.622
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.432
