,597cb71cd4e83700016c35b2
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,150
Pond5Fish6_TimeLeft,1046.986
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,8.176
PondTime,67.66
TimeLeft,1039.195
PondOutcome,50
TotalOutcome,150
PondStart,PondStart
PondIntroTime,16.3238069252111
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.076
Pond7Fish1_PondTime,8.032
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,160
Pond7Fish1_TimeLeft,1014.219
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.124
Pond7Fish2_PondTime,14.4
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,170
Pond7Fish2_TimeLeft,1007.851
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.525
Pond7Fish3_PondTime,21.05
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,190
Pond7Fish3_TimeLeft,1001.201
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.937
Pond7Fish4_PondTime,28.035
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,200
Pond7Fish4_TimeLeft,994.216
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.153
Pond7Fish5_PondTime,35.401
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,210
Pond7Fish5_TimeLeft,986.85
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.239
Pond7Fish6_PondTime,43.22
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,220
Pond7Fish6_TimeLeft,979.031
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.275
Pond7Fish7_PondTime,51.589
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,230
Pond7Fish7_TimeLeft,970.662
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.011
Pond7Fish8_PondTime,60.62
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,240
Pond7Fish8_TimeLeft,961.631
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,golden
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.966
Pond7Fish9_PondTime,70.488
Pond7Fish9_PondOutcome,110
Pond7Fish9_TotalOutcome,260
Pond7Fish9_TimeLeft,951.763
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.988
Pond7Fish10_PondTime,81.424
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,270
Pond7Fish10_TimeLeft,940.827
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.123
Pond7Fish11_PondTime,93.791
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,280
Pond7Fish11_TimeLeft,928.46
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.426
Pond7Fish12_PondTime,108.159
Pond7Fish12_PondOutcome,140
Pond7Fish12_TotalOutcome,290
Pond7Fish12_TimeLeft,914.092
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,2.324
PondTime,110.115
TimeLeft,911.634
PondOutcome,140
TotalOutcome,290
PondStart,PondStart
PondIntroTime,10.039430847391486
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.904
Pond4Fish1_PondTime,8.902
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,300
