,5e14318a2fc478a3fba28d4c
Pond10Fish4_TotalOutcome,160
Pond10Fish4_TimeLeft,1043.906
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.013
Pond10Fish5_PondTime,32.883
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,170
Pond10Fish5_TimeLeft,1037.257
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.654
Pond10Fish6_PondTime,39.866
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,190
Pond10Fish6_TimeLeft,1030.274
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.998
Pond10Fish7_PondTime,47.235
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,200
Pond10Fish7_TimeLeft,1022.905
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.735
Pond10Fish8_PondTime,55.05
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,210
Pond10Fish8_TimeLeft,1015.09
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.552
Pond10Fish9_PondTime,63.417
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,220
Pond10Fish9_TimeLeft,1006.723
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.647
Pond10Fish10_PondTime,72.448
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,230
Pond10Fish10_TimeLeft,997.692
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.901
Pond10Fish11_PondTime,82.315
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,240
Pond10Fish11_TimeLeft,987.825
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,0.337
PondTime,92.649
TimeLeft,976.988
PondOutcome,120
TotalOutcome,240
PondStart,PondStart
PondIntroTime,10.4027562122792
Type,RT
