,5e14318a2fc478a3fba28d4c
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.897
Pond3Fish5_PondTime,54.992
Pond3Fish5_PondOutcome,70
Pond3Fish5_TotalOutcome,910
Pond3Fish5_TimeLeft,198.018
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.897
Pond3Fish6_PondTime,65.992
Pond3Fish6_PondOutcome,80
Pond3Fish6_TotalOutcome,920
Pond3Fish6_TimeLeft,187.018
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.989
Pond3Fish7_PondTime,74.29
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,930
Pond3Fish7_TimeLeft,178.72
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.67
Pond3Fish8_PondTime,82.659
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,940
Pond3Fish8_TimeLeft,170.351
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.053
Pond3Fish9_PondTime,91.69
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,950
Pond3Fish9_TimeLeft,161.32
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.578
Pond3Fish10_PondTime,101.558
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,960
Pond3Fish10_TimeLeft,151.452
PondEnd_LastFish,10
FishN,18
Type,RT
GiveUpTime,0.592
PondTime,112.096
TimeLeft,140.411
PondOutcome,120
TotalOutcome,960
PondStart,PondStart
PondIntroTime,12.698222445324063
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.777
Pond4Fish1_PondTime,8.888
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,970
Pond4Fish1_TimeLeft,112.836
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.879
Pond4Fish2_PondTime,19.708
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,980
Pond4Fish2_TimeLeft,102.017
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.815
Pond4Fish3_PondTime,30.708
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,990
Pond4Fish3_TimeLeft,91.017
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.789
Pond4Fish4_PondTime,43.707
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,1000
Pond4Fish4_TimeLeft,78.018
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.032
Pond4Fish5_PondTime,57.708
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,1020
Pond4Fish5_TimeLeft,64.017
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.737
Pond4Fish6_PondTime,69.369
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,1030
Pond4Fish6_TimeLeft,52.356
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,0.388
PondTime,79.971
TimeLeft,41.252
PondOutcome,70
TotalOutcome,1030
PondStart,PondStart
PondIntroTime,11.13153837621212
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.322
Pond8Fish1_PondTime,7.802
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,1040
Pond8Fish1_TimeLeft,21.373
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,13.966
Pond8Fish2_PondOutcome,10
Pond8Fish2_TotalOutcome,1040
Pond8Fish2_TimeLeft,15.209
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.229
Pond8Fish3_PondTime,20.335
Pond8Fish3_PondOutcome,20
Pond8Fish3_TotalOutcome,1050
Pond8Fish3_TimeLeft,8.84
