,5b97683595c5ba00010ac439
Pond10Fish1_TotalOutcome,160
Pond10Fish1_TimeLeft,1014.184
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.678
Pond10Fish2_PondTime,13.995
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,170
Pond10Fish2_TimeLeft,1008.03
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.03
Pond10Fish3_PondTime,20.438
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,180
Pond10Fish3_TimeLeft,1001.587
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.034
Pond10Fish4_PondTime,27.093
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,190
Pond10Fish4_TimeLeft,994.932
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,-1
Pond10Fish5_PondTime,34.162
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,190
Pond10Fish5_TimeLeft,987.863
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.089
Pond10Fish6_PondTime,41.533
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,200
Pond10Fish6_TimeLeft,980.492
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.121
Pond10Fish7_PondTime,49.384
Pond10Fish7_PondOutcome,60
Pond10Fish7_TotalOutcome,210
Pond10Fish7_TimeLeft,972.641
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,0.865
Pond10Fish8_PondTime,57.774
Pond10Fish8_PondOutcome,70
Pond10Fish8_TotalOutcome,220
Pond10Fish8_TimeLeft,964.251
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,0.762
Pond10Fish9_PondTime,66.813
Pond10Fish9_PondOutcome,80
Pond10Fish9_TotalOutcome,230
Pond10Fish9_TimeLeft,955.212
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,1.129
Pond10Fish10_PondTime,76.679
Pond10Fish10_PondOutcome,90
Pond10Fish10_TotalOutcome,240
Pond10Fish10_TimeLeft,945.346
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,0.884
Pond10Fish11_PondTime,87.653
Pond10Fish11_PondOutcome,100
Pond10Fish11_TotalOutcome,250
Pond10Fish11_TimeLeft,934.372
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,0.849
Pond10Fish12_PondTime,100.078
Pond10Fish12_PondOutcome,110
Pond10Fish12_TotalOutcome,260
Pond10Fish12_TimeLeft,921.946
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,10
Pond10Fish13_CatchTime,1.01
