,5d877c37c3e7ca001816fb8f
PlayerDetails,5d877c37c3e7ca001816fb8f
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 17:44:38 GMT+1100 (Australian Eastern Daylight Time)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.29
Pond2Fish1_PondTime,8.322
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1194.075
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.289
Pond2Fish2_PondTime,15.006
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1187.391
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.112
Pond2Fish3_PondTime,22.031
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1180.366
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.055
Pond2Fish4_PondTime,29.423
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1172.974
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.92
Pond2Fish5_PondTime,37.29
Pond2Fish5_PondOutcome,50
