,5d4cb2b5438eea001b5ddeaf
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,450
Pond4Fish6_TimeLeft,640.358
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.246
Pond4Fish7_PondTime,74.783
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,460
Pond4Fish7_TimeLeft,625.989
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.339
Pond4Fish8_PondTime,92.15
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,470
Pond4Fish8_TimeLeft,608.622
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.147
Pond4Fish9_PondTime,114.522
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,480
Pond4Fish9_TimeLeft,586.25
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,20
Pond4Fish10_CatchTime,1.126
Pond4Fish10_PondTime,146.906
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,490
Pond4Fish10_TimeLeft,553.866
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,55.214
PondTime,201.446
TimeLeft,498.822
PondOutcome,100
TotalOutcome,490
PondStart,PondStart
PondIntroTime,17.275049935560673
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.535
Pond11Fish1_PondTime,8.269
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,500
Pond11Fish1_TimeLeft,472.669
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.274
Pond11Fish2_PondTime,14.923
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,510
Pond11Fish2_TimeLeft,466.015
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.172
Pond11Fish3_PondTime,21.911
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,520
Pond11Fish3_TimeLeft,459.027
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.752
Pond11Fish4_PondTime,29.281
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,540
Pond11Fish4_TimeLeft,451.657
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.296
Pond11Fish5_PondTime,37.097
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,550
Pond11Fish5_TimeLeft,443.841
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.214
Pond11Fish6_PondTime,45.476
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,560
Pond11Fish6_TimeLeft,435.462
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.09
Pond11Fish7_PondTime,54.509
Pond11Fish7_PondOutcome,90
Pond11Fish7_TotalOutcome,580
Pond11Fish7_TimeLeft,426.429
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.138
Pond11Fish8_PondTime,64.381
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,590
Pond11Fish8_TimeLeft,416.557
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.498
Pond11Fish9_PondTime,75.319
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,600
Pond11Fish9_TimeLeft,405.619
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.317
Pond11Fish10_PondTime,87.697
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,610
Pond11Fish10_TimeLeft,393.241
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.121
Pond11Fish11_PondTime,102.071
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,620
Pond11Fish11_TimeLeft,378.867
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,1.11
Pond11Fish12_PondTime,119.441
Pond11Fish12_PondOutcome,140
Pond11Fish12_TotalOutcome,630
Pond11Fish12_TimeLeft,361.497
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,15
Pond11Fish13_CatchTime,1.204
Pond11Fish13_PondTime,141.807
Pond11Fish13_PondOutcome,150
Pond11Fish13_TotalOutcome,640
Pond11Fish13_TimeLeft,339.131
Type,RT
FishN,15
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,20
Pond11Fish14_CatchTime,1.346
Pond11Fish14_PondTime,174.181
Pond11Fish14_PondOutcome,160
Pond11Fish14_TotalOutcome,650
Pond11Fish14_TimeLeft,306.757
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,0.793
PondTime,174.521
TimeLeft,305.915
PondOutcome,160
TotalOutcome,650
PondStart,PondStart
PondIntroTime,11.847376392688602
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.133
Pond2Fish1_PondTime,8.568
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,660
Pond2Fish1_TimeLeft,284.855
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.054
Pond2Fish2_PondTime,15.55
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,670
Pond2Fish2_TimeLeft,277.873
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,1.205
Pond2Fish3_PondTime,22.926
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,680
Pond2Fish3_TimeLeft,270.497
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.036
Pond2Fish4_PondTime,30.752
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,690
Pond2Fish4_TimeLeft,262.671
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,0.878
Pond2Fish5_PondTime,39.116
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,700
Pond2Fish5_TimeLeft,254.307
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,0.911
Pond2Fish6_PondTime,48.159
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,710
Pond2Fish6_TimeLeft,245.264
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.973
Pond2Fish7_PondTime,58.029
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,720
Pond2Fish7_TimeLeft,235.394
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.242
Pond2Fish8_PondTime,68.968
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,730
Pond2Fish8_TimeLeft,224.455
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.795
Pond2Fish9_PondTime,81.334
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,740
Pond2Fish9_TimeLeft,212.089
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,1.448
Pond2Fish10_PondTime,95.707
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,750
Pond2Fish10_TimeLeft,197.716
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,1.278
Pond2Fish11_PondTime,113.081
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,760
Pond2Fish11_TimeLeft,180.342
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,15
Pond2Fish12_CatchTime,1.484
Pond2Fish12_PondTime,135.448
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,770
Pond2Fish12_TimeLeft,157.975
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,20
Pond2Fish13_CatchTime,1.237
Pond2Fish13_PondTime,167.824
Pond2Fish13_PondOutcome,130
Pond2Fish13_TotalOutcome,780
Pond2Fish13_TimeLeft,125.599
PondEnd_LastFish,13
FishN,15
Type,RT
GiveUpTime,41.417
PondTime,208.688
TimeLeft,84.233
PondOutcome,130
TotalOutcome,780
PondStart,PondStart
