,5bbeb9e16322c500015ae44c
Pond1Fish8_TimeLeft,1063.011
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.371
Pond1Fish9_PondTime,75.495
Pond1Fish9_PondOutcome,80
Pond1Fish9_TotalOutcome,150
Pond1Fish9_TimeLeft,1052.079
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.259
Pond1Fish10_PondTime,87.857
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,160
Pond1Fish10_TimeLeft,1039.717
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,1.256
PondTime,88.575
TimeLeft,1038.493
PondOutcome,90
TotalOutcome,160
PondStart,PondStart
PondIntroTime,17.774693723767996
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,golden
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.299
Pond10Fish1_PondTime,8.279
Pond10Fish1_PondOutcome,20
Pond10Fish1_TotalOutcome,180
Pond10Fish1_TimeLeft,1011.817
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.836
Pond10Fish2_PondTime,15.075
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,190
Pond10Fish2_TimeLeft,1005.021
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.347
Pond10Fish3_PondTime,22.06
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,200
Pond10Fish3_TimeLeft,998.036
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.119
Pond10Fish4_PondTime,29.42
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,210
Pond10Fish4_TimeLeft,990.676
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,0.838
Pond10Fish5_PondTime,37.234
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,220
Pond10Fish5_TimeLeft,982.862
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.117
Pond10Fish6_PondTime,45.599
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,230
Pond10Fish6_TimeLeft,974.497
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,0.991
Pond10Fish7_PondTime,54.625
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,240
Pond10Fish7_TimeLeft,965.471
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,golden
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.045
Pond10Fish8_PondTime,64.486
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,260
Pond10Fish8_TimeLeft,955.61
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.302
Pond10Fish9_PondTime,75.434
Pond10Fish9_PondOutcome,110
Pond10Fish9_TotalOutcome,270
Pond10Fish9_TimeLeft,944.662
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.336
Pond10Fish10_PondTime,87.79
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,280
Pond10Fish10_TimeLeft,932.305
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,1.058
Pond10Fish11_PondTime,102.15
Pond10Fish11_PondOutcome,130
Pond10Fish11_TotalOutcome,290
Pond10Fish11_TimeLeft,917.946
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,12
Pond10Fish12_CatchTime,1.367
Pond10Fish12_PondTime,119.512
Pond10Fish12_PondOutcome,140
Pond10Fish12_TotalOutcome,300
Pond10Fish12_TimeLeft,900.584
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,1.073
PondTime,120.162
TimeLeft,899.43
PondOutcome,140
TotalOutcome,300
PondStart,PondStart
PondIntroTime,17.876917766407132
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.152
Pond11Fish1_PondTime,7.614
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,310
Pond11Fish1_TimeLeft,873.315
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,0.967
Pond11Fish2_PondTime,13.512
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,320
Pond11Fish2_TimeLeft,867.418
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.949
Pond11Fish3_PondTime,19.628
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,330
Pond11Fish3_TimeLeft,861.302
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.143
Pond11Fish4_PondTime,25.987
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,340
Pond11Fish4_TimeLeft,854.942
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,0.93
Pond11Fish5_PondTime,32.636
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,360
Pond11Fish5_TimeLeft,848.294
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.258
Pond11Fish6_PondTime,39.616
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,370
Pond11Fish6_TimeLeft,841.314
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.499
Pond11Fish7_PondTime,46.978
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,380
Pond11Fish7_TimeLeft,833.952
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.151
Pond11Fish8_PondTime,54.791
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,390
Pond11Fish8_TimeLeft,826.138
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,0.933
Pond11Fish9_PondTime,63.154
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,400
Pond11Fish9_TimeLeft,817.776
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,1.164
Pond11Fish10_PondTime,72.183
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,410
Pond11Fish10_TimeLeft,808.747
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,1.098
Pond11Fish11_PondTime,82.043
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,420
Pond11Fish11_TimeLeft,798.887
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,1.265
Pond11Fish12_PondTime,92.978
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,430
Pond11Fish12_TimeLeft,787.952
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,8.571428571428571
Pond11Fish13_CatchTime,1.038
Pond11Fish13_PondTime,105.348
Pond11Fish13_PondOutcome,140
Pond11Fish13_TotalOutcome,440
Pond11Fish13_TimeLeft,775.582
Type,RT
FishN,15
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,10
Pond11Fish14_CatchTime,1.227
Pond11Fish14_PondTime,119.712
Pond11Fish14_PondOutcome,150
Pond11Fish14_TotalOutcome,450
Pond11Fish14_TimeLeft,761.217
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,0.91
PondTime,120.048
TimeLeft,760.373
PondOutcome,150
TotalOutcome,450
PondStart,PondStart
PondIntroTime,19.279363905079663
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.793
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,450
Pond5Fish1_TimeLeft,730.672
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.089
Pond5Fish2_PondTime,18.159
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,460
Pond5Fish2_TimeLeft,722.307
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.015
Pond5Fish3_PondTime,27.194
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,470
Pond5Fish3_TimeLeft,713.272
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.79
Pond5Fish4_PondTime,37.065
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,480
Pond5Fish4_TimeLeft,703.4
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.812
Pond5Fish5_PondTime,47.995
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,490
Pond5Fish5_TimeLeft,692.471
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.079
Pond5Fish6_PondTime,60.355
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,500
Pond5Fish6_TimeLeft,680.111
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.951
Pond5Fish7_PondTime,74.716
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,510
Pond5Fish7_TimeLeft,665.75
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,1.007
PondTime,74.885
TimeLeft,665.075
PondOutcome,60
TotalOutcome,510
PondStart,PondStart
PondIntroTime,14.671923972200602
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.364
Pond9Fish1_PondTime,9.279
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,520
Pond9Fish1_TimeLeft,640.514
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.742
Pond9Fish2_PondTime,17.092
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,530
Pond9Fish2_TimeLeft,632.701
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.242
Pond9Fish3_PondTime,25.457
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,540
Pond9Fish3_TimeLeft,624.336
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.821
Pond9Fish4_PondTime,34.482
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,560
Pond9Fish4_TimeLeft,615.31
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.815
Pond9Fish5_PondTime,44.345
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,570
Pond9Fish5_TimeLeft,605.448
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
