,5d88f4b6e35af10019ec5cc2
Pond8Fish3_CatchTime,1.075
Pond8Fish3_PondTime,23.878
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,900
Pond8Fish3_TimeLeft,207.697
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.11
Pond8Fish4_PondTime,31.693
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,920
Pond8Fish4_TimeLeft,199.882
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.267
Pond8Fish5_PondTime,40.05
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,930
Pond8Fish5_TimeLeft,191.525
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.96
Pond8Fish6_PondTime,49.994
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,940
Pond8Fish6_TimeLeft,181.58
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.862
Pond8Fish7_PondTime,61.65
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,950
Pond8Fish7_TimeLeft,169.925
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.821
Pond8Fish8_PondTime,72.583
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,960
Pond8Fish8_TimeLeft,158.992
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.132
Pond8Fish9_PondTime,84.942
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,970
Pond8Fish9_TimeLeft,146.633
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,12.211
PondTime,96.491
TimeLeft,134.582
PondOutcome,100
TotalOutcome,970
PondStart,PondStart
PondIntroTime,15.356509385164827
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.124
Pond9Fish1_PondTime,9.542
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,980
Pond9Fish1_TimeLeft,107.034
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.508
Pond9Fish2_PondTime,16.516
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,990
Pond9Fish2_TimeLeft,100.06
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.059
Pond9Fish3_PondTime,23.875
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,1000
Pond9Fish3_TimeLeft,92.701
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.908
Pond9Fish4_PondTime,31.688
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,1010
Pond9Fish4_TimeLeft,84.888
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,golden
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.069
Pond9Fish5_PondTime,40.048
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1030
Pond9Fish5_TimeLeft,76.528
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.889
Pond9Fish6_PondTime,49.074
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,1040
Pond9Fish6_TimeLeft,67.502
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.114
Pond9Fish7_PondTime,58.927
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,1050
Pond9Fish7_TimeLeft,57.649
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.357
Pond9Fish8_PondTime,69.86
Pond9Fish8_PondOutcome,100
Pond9Fish8_TotalOutcome,1070
Pond9Fish8_TimeLeft,46.716
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.818
Pond9Fish9_PondTime,82.219
Pond9Fish9_PondOutcome,110
Pond9Fish9_TotalOutcome,1080
Pond9Fish9_TimeLeft,34.357
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,golden
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.33
Pond9Fish10_PondTime,96.579
Pond9Fish10_PondOutcome,130
Pond9Fish10_TotalOutcome,1100
Pond9Fish10_TimeLeft,19.997
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,1.654
PondTime,97.776
TimeLeft,18.294
PondOutcome,130
TotalOutcome,1100
PondStart,PondStart
PondIntroTime,15.843435523565859
