,5ba8a1d2c16a9c0001497a21
Pond4Fish5_TotalOutcome,160
Pond4Fish5_TimeLeft,1039.818
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.791
Pond4Fish6_PondTime,43.331
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,170
Pond4Fish6_TimeLeft,1032.001
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.167
Pond4Fish7_PondTime,51.704
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,180
Pond4Fish7_TimeLeft,1023.628
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,1.079
Pond4Fish8_PondTime,60.736
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,190
Pond4Fish8_TimeLeft,1014.596
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.852
Pond4Fish9_PondTime,70.602
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,200
Pond4Fish9_TimeLeft,1004.73
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.069
Pond4Fish10_PondTime,81.536
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,210
Pond4Fish10_TimeLeft,993.796
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.125
Pond4Fish11_PondTime,93.907
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,220
Pond4Fish11_TimeLeft,981.425
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.263
Pond4Fish12_PondTime,108.279
Pond4Fish12_PondOutcome,120
Pond4Fish12_TotalOutcome,230
