,5c1e0b02cb7ecd0001f49b87
Pond8Fish3_PondTime,22.9
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,880
Pond8Fish3_TimeLeft,183.514
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.053
Pond8Fish4_PondTime,30.716
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,890
Pond8Fish4_TimeLeft,175.698
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.994
Pond8Fish5_PondTime,39.074
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,900
Pond8Fish5_TimeLeft,167.34
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.896
Pond8Fish6_PondTime,48.097
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,910
Pond8Fish6_TimeLeft,158.317
PondEnd_LastFish,6
FishN,15
Type,RT
GiveUpTime,0.31
PondTime,57.402
TimeLeft,148.506
PondOutcome,60
TotalOutcome,910
PondStart,PondStart
PondIntroTime,16.134493371937424
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.92
Pond1Fish1_PondTime,7.799
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,920
Pond1Fish1_TimeLeft,123.921
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.291
Pond1Fish2_PondTime,13.906
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,930
Pond1Fish2_TimeLeft,117.814
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.714
Pond1Fish3_PondTime,20.283
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,940
Pond1Fish3_TimeLeft,111.437
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.809
Pond1Fish4_PondTime,26.925
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,950
Pond1Fish4_TimeLeft,104.795
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.793
Pond1Fish5_PondTime,33.923
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,960
Pond1Fish5_TimeLeft,97.797
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.837
Pond1Fish6_PondTime,41.28
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,970
Pond1Fish6_TimeLeft,90.44
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.848
Pond1Fish7_PondTime,49.094
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,990
Pond1Fish7_TimeLeft,82.626
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.985
Pond1Fish8_PondTime,57.452
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,1000
Pond1Fish8_TimeLeft,74.268
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,golden
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.777
Pond1Fish9_PondTime,66.48
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,1020
Pond1Fish9_TimeLeft,65.24
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.892
Pond1Fish10_PondTime,76.338
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,1030
Pond1Fish10_TimeLeft,55.381
PondEnd_LastFish,10
FishN,18
Type,RT
GiveUpTime,0.625
PondTime,87.005
TimeLeft,44.208
PondOutcome,120
TotalOutcome,1030
PondStart,PondStart
PondIntroTime,16.89244834240526
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.048
Pond6Fish1_PondTime,7.797
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,1040
Pond6Fish1_TimeLeft,18.86
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.028
Pond6Fish2_PondTime,13.905
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,1050
Pond6Fish2_TimeLeft,12.752
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.6
Pond6Fish3_PondTime,20.27
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,1060
Pond6Fish3_TimeLeft,6.387
