,5d415382037fb000013a2dcb
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.33
Pond3Fish2_PondTime,13.964
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,140
Pond3Fish2_TimeLeft,1052.793
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,golden
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.9
Pond3Fish3_PondTime,20.346
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,160
Pond3Fish3_TimeLeft,1046.411
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.988
Pond3Fish4_PondTime,27.01
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,170
Pond3Fish4_TimeLeft,1039.747
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.752
Pond3Fish5_PondTime,34.004
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,180
Pond3Fish5_TimeLeft,1032.753
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,golden
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.727
Pond3Fish6_PondTime,41.394
Pond3Fish6_PondOutcome,80
Pond3Fish6_TotalOutcome,200
Pond3Fish6_TimeLeft,1025.363
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,golden
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.806
Pond3Fish7_PondTime,49.223
Pond3Fish7_PondOutcome,100
Pond3Fish7_TotalOutcome,220
Pond3Fish7_TimeLeft,1017.534
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.993
Pond3Fish8_PondTime,57.611
Pond3Fish8_PondOutcome,110
Pond3Fish8_TotalOutcome,230
Pond3Fish8_TimeLeft,1009.146
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,golden
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.715
Pond3Fish9_PondTime,66.65
Pond3Fish9_PondOutcome,130
Pond3Fish9_TotalOutcome,250
Pond3Fish9_TimeLeft,1000.107
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,golden
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.963
Pond3Fish10_PondTime,76.544
Pond3Fish10_PondOutcome,150
Pond3Fish10_TotalOutcome,270
Pond3Fish10_TimeLeft,990.213
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,golden
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.781
Pond3Fish11_PondTime,87.494
Pond3Fish11_PondOutcome,170
Pond3Fish11_TotalOutcome,290
Pond3Fish11_TimeLeft,979.263
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.934
Pond3Fish12_PondTime,99.891
Pond3Fish12_PondOutcome,180
Pond3Fish12_TotalOutcome,300
Pond3Fish12_TimeLeft,966.866
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,0.735
Pond3Fish13_PondTime,114.268
Pond3Fish13_PondOutcome,190
Pond3Fish13_TotalOutcome,310
Pond3Fish13_TimeLeft,952.489
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.389
PondTime,131.488
TimeLeft,934.76
PondOutcome,190
TotalOutcome,310
PondStart,PondStart
PondIntroTime,18.083361370954663
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.679
Pond10Fish1_PondTime,8.292
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,320
Pond10Fish1_TimeLeft,907.532
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.975
Pond10Fish2_PondTime,16.254
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,330
Pond10Fish2_TimeLeft,899.57
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,-1
Pond10Fish3_PondTime,23.32
Pond10Fish3_PondOutcome,20
Pond10Fish3_TotalOutcome,330
Pond10Fish3_TimeLeft,892.504
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.912
Pond10Fish4_PondTime,30.714
Pond10Fish4_PondOutcome,30
Pond10Fish4_TotalOutcome,340
Pond10Fish4_TimeLeft,885.11
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,0.884
Pond10Fish5_PondTime,38.576
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,350
Pond10Fish5_TimeLeft,877.248
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,0.732
Pond10Fish6_PondTime,46.959
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,360
Pond10Fish6_TimeLeft,868.865
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,0.973
Pond10Fish7_PondTime,56.007
Pond10Fish7_PondOutcome,60
Pond10Fish7_TotalOutcome,370
Pond10Fish7_TimeLeft,859.817
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.161
Pond10Fish8_PondTime,65.898
Pond10Fish8_PondOutcome,70
Pond10Fish8_TotalOutcome,380
Pond10Fish8_TimeLeft,849.926
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.536
Pond10Fish9_PondTime,76.839
Pond10Fish9_PondOutcome,80
Pond10Fish9_TotalOutcome,390
Pond10Fish9_TimeLeft,838.985
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,0.927
Pond10Fish10_PondTime,89.206
Pond10Fish10_PondOutcome,90
Pond10Fish10_TotalOutcome,400
Pond10Fish10_TimeLeft,826.618
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,0.901
Pond10Fish11_PondTime,103.588
Pond10Fish11_PondOutcome,100
Pond10Fish11_TotalOutcome,410
Pond10Fish11_TimeLeft,812.236
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,golden
Pond10Fish12_FishLatency,12
Pond10Fish12_CatchTime,0.719
Pond10Fish12_PondTime,120.988
Pond10Fish12_PondOutcome,120
Pond10Fish12_TotalOutcome,430
Pond10Fish12_TimeLeft,794.836
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,15
Pond10Fish13_CatchTime,0.963
Pond10Fish13_PondTime,143.37
Pond10Fish13_PondOutcome,130
Pond10Fish13_TotalOutcome,440
Pond10Fish13_TimeLeft,772.454
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,1.298
PondTime,143.83
TimeLeft,771.491
PondOutcome,130
TotalOutcome,440
PondStart,PondStart
PondIntroTime,13.984777256846428
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.91
Pond5Fish1_PondTime,8.563
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,450
Pond5Fish1_TimeLeft,748.308
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.859
Pond5Fish2_PondTime,15.552
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,460
Pond5Fish2_TimeLeft,741.319
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.109
Pond5Fish3_PondTime,22.928
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,470
Pond5Fish3_TimeLeft,733.943
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.904
Pond5Fish4_PondTime,30.764
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,480
Pond5Fish4_TimeLeft,726.107
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.996
Pond5Fish5_PondTime,39.146
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,490
Pond5Fish5_TimeLeft,717.725
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.781
Pond5Fish6_PondTime,48.195
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,510
Pond5Fish6_TimeLeft,708.676
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.855
Pond5Fish7_PondTime,58.085
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,520
Pond5Fish7_TimeLeft,698.786
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.031
Pond5Fish8_PondTime,69.036
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,530
Pond5Fish8_TimeLeft,687.835
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,0.801
Pond5Fish9_PondTime,81.426
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,540
Pond5Fish9_TimeLeft,675.445
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,0.97
Pond5Fish10_PondTime,95.835
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,550
Pond5Fish10_TimeLeft,661.036
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,0.938
Pond5Fish11_PondTime,113.215
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,560
Pond5Fish11_TimeLeft,643.656
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,golden
Pond5Fish12_FishLatency,15
Pond5Fish12_CatchTime,1.013
Pond5Fish12_PondTime,135.599
Pond5Fish12_PondOutcome,140
Pond5Fish12_TotalOutcome,580
Pond5Fish12_TimeLeft,621.272
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,21.125
PondTime,155.937
TimeLeft,600.423
PondOutcome,140
TotalOutcome,580
PondStart,PondStart
PondIntroTime,16.219407441094518
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.893
Pond2Fish1_PondTime,8.047
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,590
Pond2Fish1_TimeLeft,575.526
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.041
Pond2Fish2_PondTime,14.459
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,600
Pond2Fish2_TimeLeft,569.114
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.038
Pond2Fish3_PondTime,21.119
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,610
Pond2Fish3_TimeLeft,562.454
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.836
Pond2Fish4_PondTime,28.126
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,620
Pond2Fish4_TimeLeft,555.446
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.03
Pond2Fish5_PondTime,35.513
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,630
Pond2Fish5_TimeLeft,548.06
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.851
Pond2Fish6_PondTime,43.365
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,640
Pond2Fish6_TimeLeft,540.208
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.128
Pond2Fish7_PondTime,51.743
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,650
Pond2Fish7_TimeLeft,531.83
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,-1
Pond2Fish8_PondTime,60.858
Pond2Fish8_PondOutcome,70
Pond2Fish8_TotalOutcome,650
Pond2Fish8_TimeLeft,522.715
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.907
Pond2Fish9_PondTime,70.745
Pond2Fish9_PondOutcome,80
Pond2Fish9_TotalOutcome,660
Pond2Fish9_TimeLeft,512.828
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.038
Pond2Fish10_PondTime,81.691
Pond2Fish10_PondOutcome,90
Pond2Fish10_TotalOutcome,670
Pond2Fish10_TimeLeft,501.882
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.84
Pond2Fish11_PondTime,94.066
Pond2Fish11_PondOutcome,100
Pond2Fish11_TotalOutcome,680
Pond2Fish11_TimeLeft,489.507
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,golden
Pond2Fish12_FishLatency,10
Pond2Fish12_CatchTime,0.797
Pond2Fish12_PondTime,108.457
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,700
Pond2Fish12_TimeLeft,475.115
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,0.685
PondTime,125.599
TimeLeft,457.47
PondOutcome,120
TotalOutcome,700
PondStart,PondStart
PondIntroTime,15.405233625788242
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.786
Pond7Fish1_PondTime,8.574
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,710
Pond7Fish1_TimeLeft,432.866
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.041
Pond7Fish2_PondTime,15.554
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,720
Pond7Fish2_TimeLeft,425.886
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.691
Pond7Fish3_PondTime,22.942
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,730
Pond7Fish3_TimeLeft,418.498
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.723
Pond7Fish4_PondTime,30.788
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,740
Pond7Fish4_TimeLeft,410.652
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.731
Pond7Fish5_PondTime,39.172
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,750
Pond7Fish5_TimeLeft,402.269
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.03
Pond7Fish6_PondTime,48.229
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,760
Pond7Fish6_TimeLeft,393.212
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.775
Pond7Fish7_PondTime,58.113
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,770
Pond7Fish7_TimeLeft,383.328
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.875
Pond7Fish8_PondTime,69.053
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,780
Pond7Fish8_TimeLeft,372.388
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,0.893
Pond7Fish9_PondTime,81.437
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,790
Pond7Fish9_TimeLeft,360.004
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,0.919
Pond7Fish10_PondTime,95.823
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,800
Pond7Fish10_TimeLeft,345.618
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.093
Pond7Fish11_PondTime,113.21
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,810
Pond7Fish11_TimeLeft,328.231
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,20.483
PondTime,132.982
TimeLeft,307.953
PondOutcome,110
TotalOutcome,810
PondStart,PondStart
PondIntroTime,15.350501770153642
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.134
Pond1Fish1_PondTime,8.589
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,820
Pond1Fish1_TimeLeft,283.369
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.769
Pond1Fish2_PondTime,15.579
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,830
Pond1Fish2_TimeLeft,276.379
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,0.901
Pond1Fish3_PondTime,22.956
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,840
Pond1Fish3_TimeLeft,269.002
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.975
Pond1Fish4_PondTime,30.801
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,850
Pond1Fish4_TimeLeft,261.157
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,0.686
Pond1Fish5_PondTime,39.181
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,860
Pond1Fish5_TimeLeft,252.777
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.039
Pond1Fish6_PondTime,48.227
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,870
Pond1Fish6_TimeLeft,243.731
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,0.97
Pond1Fish7_PondTime,58.114
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,880
Pond1Fish7_TimeLeft,233.843
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,0.828
Pond1Fish8_PondTime,69.065
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,890
Pond1Fish8_TimeLeft,222.893
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.074
Pond1Fish9_PondTime,81.457
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,900
Pond1Fish9_TimeLeft,210.501
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,10
