,5d5f0b2e0e71190019c643f7
Type,RT
GiveUpTime,11.156
PondTime,99.182
TimeLeft,1037.782
PondOutcome,100
TotalOutcome,170
PondStart,PondStart
PondIntroTime,13.016673349775374
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.792
Pond10Fish1_PondTime,7.711
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,180
Pond10Fish1_TimeLeft,1016.44
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.166
Pond10Fish2_PondTime,13.596
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,190
Pond10Fish2_TimeLeft,1010.555
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.882
Pond10Fish3_PondTime,19.709
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,200
Pond10Fish3_TimeLeft,1004.442
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.959
Pond10Fish4_PondTime,26.072
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,210
Pond10Fish4_TimeLeft,998.079
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.11
Pond10Fish5_PondTime,32.72
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,220
Pond10Fish5_TimeLeft,991.431
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,-1
Pond10Fish6_PondTime,39.766
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,220
Pond10Fish6_TimeLeft,984.385
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.838
