,5c667cd68f100a000107d95f
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.128
Pond5Fish6_PondTime,45.469
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,880
Pond5Fish6_TimeLeft,172.872
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.019
Pond5Fish7_PondTime,54.501
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,890
Pond5Fish7_TimeLeft,163.84
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.484
Pond5Fish8_PondTime,64.368
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,900
Pond5Fish8_TimeLeft,153.973
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.211
Pond5Fish9_PondTime,75.305
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,910
Pond5Fish9_TimeLeft,143.036
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.146
Pond5Fish10_PondTime,87.672
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,920
Pond5Fish10_TimeLeft,130.669
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,golden
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.132
Pond5Fish11_PondTime,102.021
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,940
Pond5Fish11_TimeLeft,116.32
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.366
Pond5Fish12_PondTime,119.372
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,950
Pond5Fish12_TimeLeft,98.969
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,golden
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.357
Pond5Fish13_PondTime,141.739
Pond5Fish13_PondOutcome,150
Pond5Fish13_TotalOutcome,970
Pond5Fish13_TimeLeft,76.602
Type,RT
FishN,18
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,20
Pond5Fish14_CatchTime,1.235
Pond5Fish14_PondTime,174.104
Pond5Fish14_PondOutcome,160
Pond5Fish14_TotalOutcome,980
Pond5Fish14_TimeLeft,44.237
