,5bdec43c18f1b90001744a56
Pond11Fish10_TimeLeft,1074.554
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,1.164
Pond11Fish11_PondTime,82.053
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,170
Pond11Fish11_TimeLeft,1064.69
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,1.118
Pond11Fish12_PondTime,92.997
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,180
Pond11Fish12_TimeLeft,1053.746
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,11.264
PondTime,103.592
TimeLeft,1042.649
PondOutcome,130
TotalOutcome,180
PondStart,PondStart
PondIntroTime,12.666379746515304
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.311
Pond3Fish1_PondTime,8.898
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,190
Pond3Fish1_TimeLeft,1020.441
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.56
Pond3Fish2_PondTime,16.263
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,200
Pond3Fish2_TimeLeft,1013.076
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,24.14
Pond3Fish3_PondOutcome,20
Pond3Fish3_TotalOutcome,200
Pond3Fish3_TimeLeft,1005.199
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.045
Pond3Fish4_PondTime,32.505
Pond3Fish4_PondOutcome,30
Pond3Fish4_TotalOutcome,210
Pond3Fish4_TimeLeft,996.834
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.091
Pond3Fish5_PondTime,41.539
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,230
Pond3Fish5_TimeLeft,987.8
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,golden
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.763
Pond3Fish6_PondTime,51.4
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,250
Pond3Fish6_TimeLeft,977.939
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.156
Pond3Fish7_PondTime,62.326
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,260
Pond3Fish7_TimeLeft,967.013
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.08
Pond3Fish8_PondTime,74.689
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,270
Pond3Fish8_TimeLeft,954.65
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.892
PondTime,74.863
TimeLeft,953.973
PondOutcome,90
TotalOutcome,270
PondStart,PondStart
PondIntroTime,16.756887300871313
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.048
Pond10Fish1_PondTime,8.565
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,280
Pond10Fish1_TimeLeft,928.042
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.055
Pond10Fish2_PondTime,15.545
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,290
Pond10Fish2_TimeLeft,921.062
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.47
Pond10Fish3_PondTime,22.91
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,300
Pond10Fish3_TimeLeft,913.697
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,30.787
Pond10Fish4_PondOutcome,30
Pond10Fish4_TotalOutcome,300
Pond10Fish4_TimeLeft,905.82
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.06
Pond10Fish5_PondTime,39.153
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,310
Pond10Fish5_TimeLeft,897.454
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.27
Pond10Fish6_PondTime,48.183
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,320
Pond10Fish6_TimeLeft,888.424
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.827
Pond10Fish7_PondTime,58.046
Pond10Fish7_PondOutcome,60
Pond10Fish7_TotalOutcome,330
Pond10Fish7_TimeLeft,878.561
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.998
Pond10Fish8_PondTime,68.974
Pond10Fish8_PondOutcome,70
Pond10Fish8_TotalOutcome,340
Pond10Fish8_TimeLeft,867.633
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.412
Pond10Fish9_PondTime,81.336
Pond10Fish9_PondOutcome,80
Pond10Fish9_TotalOutcome,350
Pond10Fish9_TimeLeft,855.271
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.395
Pond10Fish10_PondTime,95.699
Pond10Fish10_PondOutcome,90
Pond10Fish10_TotalOutcome,360
Pond10Fish10_TimeLeft,840.908
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.948
PondTime,96.244
TimeLeft,839.86
PondOutcome,90
TotalOutcome,360
PondStart,PondStart
PondIntroTime,11.785064493305981
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.218
Pond9Fish1_PondTime,9.731
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,370
Pond9Fish1_TimeLeft,817.719
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.156
Pond9Fish2_PondTime,18.094
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,390
Pond9Fish2_TimeLeft,809.355
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.126
Pond9Fish3_PondTime,27.125
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,400
Pond9Fish3_TimeLeft,800.325
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.153
Pond9Fish4_PondTime,36.99
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,410
Pond9Fish4_TimeLeft,790.46
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,0.912
Pond9Fish5_PondTime,47.916
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,420
Pond9Fish5_TimeLeft,779.533
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.12
Pond9Fish6_PondTime,60.282
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,430
Pond9Fish6_TimeLeft,767.168
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.087
Pond9Fish7_PondTime,74.642
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,440
Pond9Fish7_TimeLeft,752.808
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,3.47
PondTime,77.407
TimeLeft,749.54
PondOutcome,80
TotalOutcome,440
PondStart,PondStart
PondIntroTime,11.595045167487115
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.938
Pond7Fish1_PondTime,9.281
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,450
Pond7Fish1_TimeLeft,728.036
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,17.16
Pond7Fish2_PondOutcome,10
Pond7Fish2_TotalOutcome,450
Pond7Fish2_TimeLeft,720.157
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.94
Pond7Fish3_PondTime,25.525
Pond7Fish3_PondOutcome,20
Pond7Fish3_TotalOutcome,460
Pond7Fish3_TimeLeft,711.792
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.057
Pond7Fish4_PondTime,34.555
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,470
Pond7Fish4_TimeLeft,702.762
Type,RT
FishN,16
Fish,5
