,5a04869ff2e3460001edad2e
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.021
Pond4Fish10_PondTime,81.465
Pond4Fish10_PondOutcome,90
Pond4Fish10_TotalOutcome,150
Pond4Fish10_TimeLeft,1043.125
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.941
Pond4Fish11_PondTime,93.833
Pond4Fish11_PondOutcome,100
Pond4Fish11_TotalOutcome,160
Pond4Fish11_TimeLeft,1030.757
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,0.762
PondTime,108.175
TimeLeft,1015.913
PondOutcome,100
TotalOutcome,160
PondStart,PondStart
PondIntroTime,17.594689009711146
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.84
Pond11Fish1_PondTime,8.43
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,170
Pond11Fish1_TimeLeft,988.067
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.022
Pond11Fish2_PondTime,14.555
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,180
Pond11Fish2_TimeLeft,981.942
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.933
Pond11Fish3_PondTime,20.922
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,190
Pond11Fish3_TimeLeft,975.575
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.87
Pond11Fish4_PondTime,27.613
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,200
Pond11Fish4_TimeLeft,968.883
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.868
Pond11Fish5_PondTime,34.604
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,210
Pond11Fish5_TimeLeft,961.893
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.763
Pond11Fish6_PondTime,41.971
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,220
Pond11Fish6_TimeLeft,954.526
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1
Pond11Fish7_PondTime,49.787
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,230
Pond11Fish7_TimeLeft,946.71
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.804
Pond11Fish8_PondTime,58.154
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,240
Pond11Fish8_TimeLeft,938.343
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.819
Pond11Fish9_PondTime,67.188
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,250
Pond11Fish9_TimeLeft,929.309
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.064
Pond11Fish10_PondTime,77.054
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,260
Pond11Fish10_TimeLeft,919.443
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.774
Pond11Fish11_PondTime,87.988
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,270
Pond11Fish11_TimeLeft,908.509
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.908
Pond11Fish12_PondTime,100.354
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,280
Pond11Fish12_TimeLeft,896.143
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,0.99
Pond11Fish13_PondTime,114.72
Pond11Fish13_PondOutcome,130
Pond11Fish13_TotalOutcome,290
Pond11Fish13_TimeLeft,881.776
Type,RT
FishN,15
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,0.729
Pond11Fish14_PondTime,132.089
Pond11Fish14_PondOutcome,140
Pond11Fish14_TotalOutcome,300
Pond11Fish14_TimeLeft,864.408
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,17.643
PondTime,148.662
TimeLeft,847.333
PondOutcome,140
TotalOutcome,300
PondStart,PondStart
PondIntroTime,17.436871496029198
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,0.798
Pond6Fish1_PondTime,8.268
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,310
Pond6Fish1_TimeLeft,821.01
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.717
Pond6Fish2_PondTime,14.918
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,330
Pond6Fish2_TimeLeft,814.36
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,0.925
Pond6Fish3_PondTime,21.9
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,340
Pond6Fish3_TimeLeft,807.378
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.806
Pond6Fish4_PondTime,29.267
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,350
Pond6Fish4_TimeLeft,800.011
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.91
Pond6Fish5_PondTime,37.084
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,360
Pond6Fish5_TimeLeft,792.194
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.801
Pond6Fish6_PondTime,45.45
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,370
Pond6Fish6_TimeLeft,783.828
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.979
Pond6Fish7_PondTime,54.484
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,380
Pond6Fish7_TimeLeft,774.794
Type,RT
