,5a04869ff2e3460001edad2e
Pond2Fish7_PondTime,58.001
Pond2Fish7_PondOutcome,90
Pond2Fish7_TotalOutcome,900
Pond2Fish7_TimeLeft,201.614
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,0.956
Pond2Fish8_PondTime,68.934
Pond2Fish8_PondOutcome,100
Pond2Fish8_TotalOutcome,910
Pond2Fish8_TimeLeft,190.681
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.852
Pond2Fish9_PondTime,81.3
Pond2Fish9_PondOutcome,110
Pond2Fish9_TotalOutcome,920
Pond2Fish9_TimeLeft,178.315
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,1.315
Pond2Fish10_PondTime,95.665
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,930
Pond2Fish10_TimeLeft,163.95
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,0.646
Pond2Fish11_PondTime,113.032
Pond2Fish11_PondOutcome,130
Pond2Fish11_TotalOutcome,940
Pond2Fish11_TimeLeft,146.583
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,16.958
PondTime,128.84
TimeLeft,130.272
PondOutcome,130
TotalOutcome,940
PondStart,PondStart
PondIntroTime,10.947958719916642
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.957
Pond8Fish1_PondTime,8.55
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,950
Pond8Fish1_TimeLeft,110.167
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.042
Pond8Fish2_PondTime,15.533
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,960
Pond8Fish2_TimeLeft,103.184
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.951
Pond8Fish3_PondTime,22.9
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,970
Pond8Fish3_TimeLeft,95.817
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.117
Pond8Fish4_PondTime,30.718
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,980
Pond8Fish4_TimeLeft,87.999
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.992
Pond8Fish5_PondTime,39.083
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,990
Pond8Fish5_TimeLeft,79.634
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.894
Pond8Fish6_PondTime,48.117
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,1000
Pond8Fish6_TimeLeft,70.6
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.981
Pond8Fish7_PondTime,57.984
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,1010
Pond8Fish7_TimeLeft,60.733
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,golden
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.911
Pond8Fish8_PondTime,68.917
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,1030
Pond8Fish8_TimeLeft,49.8
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,0.965
Pond8Fish9_PondTime,81.283
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,1040
Pond8Fish9_TimeLeft,37.434
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.783
Pond8Fish10_PondTime,95.65
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1050
Pond8Fish10_TimeLeft,23.067
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.33
Pond8Fish11_PondTime,113.017
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,1060
Pond8Fish11_TimeLeft,5.7
