,5c13e9a2b2746e00012c4580
Pond3Fish9_CatchTime,0.82
Pond3Fish9_PondTime,99.403
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,150
Pond3Fish9_TimeLeft,1006.295
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,golden
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,1.091
Pond3Fish10_PondTime,121.77
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,170
Pond3Fish10_TimeLeft,983.928
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,30.635
PondTime,151.703
TimeLeft,953.493
PondOutcome,110
TotalOutcome,170
PondStart,PondStart
PondIntroTime,14.977029687725008
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.161
Pond4Fish1_PondTime,8.268
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,180
Pond4Fish1_TimeLeft,929.627
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.17
Pond4Fish2_PondTime,14.918
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,190
Pond4Fish2_TimeLeft,922.977
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.175
Pond4Fish3_PondTime,21.902
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,200
Pond4Fish3_TimeLeft,915.993
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.121
Pond4Fish4_PondTime,29.268
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,210
Pond4Fish4_TimeLeft,908.627
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.969
Pond4Fish5_PondTime,37.085
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,220
Pond4Fish5_TimeLeft,900.81
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,golden
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.889
Pond4Fish6_PondTime,45.453
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,240
Pond4Fish6_TimeLeft,892.442
Type,RT
