,5cc4e12d155841001b26c35f
Pond4Fish2_CatchTime,0.96
Pond4Fish2_PondTime,18.107
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,960
Pond4Fish2_TimeLeft,167.419
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.88
Pond4Fish3_PondTime,27.159
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,970
Pond4Fish3_TimeLeft,158.367
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.171
Pond4Fish4_PondTime,37.027
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,980
Pond4Fish4_TimeLeft,148.499
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.956
Pond4Fish5_PondTime,47.955
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,990
Pond4Fish5_TimeLeft,137.571
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.078
Pond4Fish6_PondTime,60.334
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,1000
Pond4Fish6_TimeLeft,125.192
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.242
Pond4Fish7_PondTime,74.705
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,1010
Pond4Fish7_TimeLeft,110.821
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,0.871
PondTime,75.024
TimeLeft,109.999
PondOutcome,70
TotalOutcome,1010
PondStart,PondStart
PondIntroTime,17.939636544324458
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.968
Pond6Fish1_PondTime,8.027
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,1020
Pond6Fish1_TimeLeft,83.406
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.416
Pond6Fish2_PondTime,14.403
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,1030
Pond6Fish2_TimeLeft,77.031
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.179
Pond6Fish3_PondTime,21.06
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,1040
Pond6Fish3_TimeLeft,70.374
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.36
Pond6Fish4_PondTime,28.048
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,1050
Pond6Fish4_TimeLeft,63.386
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.381
Pond6Fish5_PondTime,35.419
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,1060
Pond6Fish5_TimeLeft,56.015
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.262
Pond6Fish6_PondTime,43.254
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,1070
Pond6Fish6_TimeLeft,48.18
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.996
Pond6Fish7_PondTime,51.625
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,1080
Pond6Fish7_TimeLeft,39.809
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.304
Pond6Fish8_PondTime,60.663
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,1090
Pond6Fish8_TimeLeft,30.771
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,golden
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.126
Pond6Fish9_PondTime,70.53
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,1110
Pond6Fish9_TimeLeft,20.904
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.204
Pond6Fish10_PondTime,81.474
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,1120
Pond6Fish10_TimeLeft,9.96
