,5da42ce2aebbe900133d9d18
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,2.067
Pond12Fish5_PondTime,34.035
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,900
Pond12Fish5_TimeLeft,196.906
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.943
Pond12Fish6_PondTime,41.658
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,910
Pond12Fish6_TimeLeft,189.283
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.781
Pond12Fish7_PondTime,49.499
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,920
Pond12Fish7_TimeLeft,181.442
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.874
Pond12Fish8_PondTime,57.875
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,930
Pond12Fish8_TimeLeft,173.066
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.808
Pond12Fish9_PondTime,66.912
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,940
Pond12Fish9_TimeLeft,164.029
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,golden
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,0.749
Pond12Fish10_PondTime,76.796
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,960
Pond12Fish10_TimeLeft,154.144
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,0.774
Pond12Fish11_PondTime,87.771
Pond12Fish11_PondOutcome,130
Pond12Fish11_TotalOutcome,970
Pond12Fish11_TimeLeft,143.17
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,1.141
PondTime,87.88
TimeLeft,142.553
PondOutcome,130
TotalOutcome,970
PondStart,PondStart
PondIntroTime,14.800923855509609
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.885
Pond3Fish1_PondTime,7.829
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,990
Pond3Fish1_TimeLeft,119.29
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.316
Pond3Fish2_PondTime,13.954
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,1000
Pond3Fish2_TimeLeft,113.165
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.893
Pond3Fish3_PondTime,20.328
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,1010
Pond3Fish3_TimeLeft,106.792
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.939
Pond3Fish4_PondTime,26.992
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,1020
Pond3Fish4_TimeLeft,100.127
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.497
Pond3Fish5_PondTime,33.976
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,1030
Pond3Fish5_TimeLeft,93.144
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.404
Pond3Fish6_PondTime,41.352
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,1040
Pond3Fish6_TimeLeft,85.767
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,golden
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.199
Pond3Fish7_PondTime,49.214
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,1060
Pond3Fish7_TimeLeft,77.906
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.543
Pond3Fish8_PondTime,57.598
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,1070
Pond3Fish8_TimeLeft,69.522
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.69
Pond3Fish9_PondTime,66.698
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,1080
Pond3Fish9_TimeLeft,60.421
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.125
Pond3Fish10_PondTime,76.571
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,1090
Pond3Fish10_TimeLeft,50.549
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.543
Pond3Fish11_PondTime,87.514
Pond3Fish11_PondOutcome,130
Pond3Fish11_TotalOutcome,1100
Pond3Fish11_TimeLeft,39.605
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,2.332
PondTime,89.59
TimeLeft,37.025
PondOutcome,130
TotalOutcome,1100
PondStart,PondStart
PondIntroTime,15.510214883834124
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.916
Pond8Fish1_PondTime,9.763
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,1110
Pond8Fish1_TimeLeft,11.123
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,golden
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.795
Pond8Fish2_PondTime,18.159
Pond8Fish2_PondOutcome,30
Pond8Fish2_TotalOutcome,1130
Pond8Fish2_TimeLeft,2.727
