,5ba88ccbdd59150001381091
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.83
Pond1Fish8_PondTime,82.132
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,880
Pond1Fish8_TimeLeft,154.968
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.915
PondTime,99.445
TimeLeft,137.154
PondOutcome,80
TotalOutcome,880
PondStart,PondStart
PondIntroTime,16.67568154167384
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.001
Pond4Fish1_PondTime,8.284
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,890
Pond4Fish1_TimeLeft,111.586
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.182
Pond4Fish2_PondTime,14.933
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,900
Pond4Fish2_TimeLeft,104.937
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,2.024
Pond4Fish3_PondTime,21.966
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,910
Pond4Fish3_TimeLeft,97.904
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.967
Pond4Fish4_PondTime,29.333
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,920
Pond4Fish4_TimeLeft,90.537
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.021
Pond4Fish5_PondTime,37.166
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,930
Pond4Fish5_TimeLeft,82.703
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.774
Pond4Fish6_PondTime,45.533
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,940
Pond4Fish6_TimeLeft,74.337
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.054
Pond4Fish7_PondTime,54.565
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,950
Pond4Fish7_TimeLeft,65.305
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.179
Pond4Fish8_PondTime,64.433
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,960
Pond4Fish8_TimeLeft,55.437
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.79
Pond4Fish9_PondTime,75.381
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,970
Pond4Fish9_TimeLeft,44.488
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.023
Pond4Fish10_PondTime,87.765
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,980
Pond4Fish10_TimeLeft,32.105
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,1.514
Pond4Fish11_PondTime,102.13
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,990
Pond4Fish11_TimeLeft,17.74
