,5ba88ccbdd59150001381091
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.869
Pond3Fish4_PondTime,26.934
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,170
Pond3Fish4_TimeLeft,1039.056
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.726
Pond3Fish5_PondTime,33.948
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,180
Pond3Fish5_TimeLeft,1032.042
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.887
Pond3Fish6_PondTime,41.516
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,190
Pond3Fish6_TimeLeft,1024.474
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.935
Pond3Fish7_PondTime,49.332
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,200
Pond3Fish7_TimeLeft,1016.658
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.84
Pond3Fish8_PondTime,57.699
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,210
Pond3Fish8_TimeLeft,1008.291
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,golden
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1
Pond3Fish9_PondTime,66.731
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,230
Pond3Fish9_TimeLeft,999.259
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.901
Pond3Fish10_PondTime,76.598
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,240
Pond3Fish10_TimeLeft,989.392
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.945
Pond3Fish11_PondTime,87.529
Pond3Fish11_PondOutcome,120
Pond3Fish11_TotalOutcome,250
Pond3Fish11_TimeLeft,978.461
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.888
Pond3Fish12_PondTime,99.914
Pond3Fish12_PondOutcome,130
Pond3Fish12_TotalOutcome,260
Pond3Fish12_TimeLeft,966.076
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,0.898
Pond3Fish13_PondTime,114.28
Pond3Fish13_PondOutcome,140
Pond3Fish13_TotalOutcome,270
Pond3Fish13_TimeLeft,951.71
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.886
PondTime,131.581
TimeLeft,933.906
