,5dc2fb9b09207920bc5125af
PlayerDetails,5dc2fb9b09207920bc5125af
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 15:04:26 GMT+0100 (czas środkowoeuropejski standardowy)
Pond11_Type,RD
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,0.683
Pond11Fish1_PondTime,6.864
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1193.133
Pond11_Type,RD
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.626
Pond11Fish2_PondTime,14.679
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1185.318
Pond11_Type,RD
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.963
Pond11Fish3_PondTime,23.045
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1176.952
Pond11_Type,RD
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.047
Pond11Fish4_PondTime,32.079
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,48
Pond11Fish4_TimeLeft,1167.918
Pond11_Type,RD
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.769
Pond11Fish5_PondTime,41.946
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,60
Pond11Fish5_TimeLeft,1158.051
Pond11_Type,RD
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.861
Pond11Fish6_PondTime,52.878
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,72
Pond11Fish6_TimeLeft,1147.118
Pond11_Type,RD
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.968
Pond11Fish7_PondTime,65.245
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,84
Pond11Fish7_TimeLeft,1134.752
Pond11_Type,RD
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.064
Pond11Fish8_PondTime,79.612
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,96
Pond11Fish8_TimeLeft,1120.385
Pond11_Type,RD
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,0.84
Pond11Fish9_PondTime,96.977
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,108
Pond11Fish9_TimeLeft,1103.019
Pond11_Type,RD
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,0.729
Pond11Fish10_PondTime,119.345
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,120
Pond11Fish10_TimeLeft,1080.651
Pond11_Type,RD
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,20
Pond11Fish11_CatchTime,0.923
Pond11Fish11_PondTime,151.711
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,132
Pond11Fish11_TimeLeft,1048.286
Pond11_GiveUpTime,14.518
Pond11_PondTime,165.761
Pond11_PondOutcome,132
Pond11_TotalOutcome,132
Pond11_TimeLeft,1034.235
Pond9IntroTime,15.895432368852198
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.948
Pond9Fish1_PondTime,24.117
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,144
Pond9Fish1_TimeLeft,1010.118
Pond9_Type,RD
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
