,5cc19e4f792ce5000145f764
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,74
Pond6Fish7_TimeLeft,1155.284
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.196
Pond6Fish8_PondTime,52.594
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,86
Pond6Fish8_TimeLeft,1147.403
Pond6_Type,RD
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.317
Pond6Fish9_PondTime,60.993
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,98
Pond6Fish9_TimeLeft,1139.004
Pond6_Type,RD
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.171
Pond6Fish10_PondTime,70.058
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,110
Pond6Fish10_TimeLeft,1129.938
Pond6_GiveUpTime,2.917
Pond6_PondTime,72.76
Pond6_PondOutcome,110
Pond6_TotalOutcome,110
Pond6_TimeLeft,1127.237
Pond1IntroTime,17.929133421275765
Pond1_Type,RD
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.997
Pond1Fish1_PondTime,27.876
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,122
Pond1Fish1_TimeLeft,1099.361
Pond1_Type,RD
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.979
Pond1Fish2_PondTime,35.759
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,134
Pond1Fish2_TimeLeft,1091.478
Pond1_Type,RD
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.303
Pond1Fish3_PondTime,44.171
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,146
Pond1Fish3_TimeLeft,1083.066
Pond1_Type,RD
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.102
Pond1Fish4_PondTime,53.276
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,158
Pond1Fish4_TimeLeft,1073.961
Pond1_Type,RD
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.945
Pond1Fish5_PondTime,63.243
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,170
Pond1Fish5_TimeLeft,1063.994
Pond1_Type,RD
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.199
Pond1Fish6_PondTime,74.219
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,182
Pond1Fish6_TimeLeft,1053.018
Pond1_Type,RD
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.394
Pond1Fish7_PondTime,86.643
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,194
Pond1Fish7_TimeLeft,1040.594
Pond1_Type,RD
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.07
Pond1Fish8_PondTime,101.059
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,206
Pond1Fish8_TimeLeft,1026.178
Pond1_Type,RD
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.337
Pond1Fish9_PondTime,118.493
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,218
Pond1Fish9_TimeLeft,1008.744
Pond1_Type,RD
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,1.331
Pond1Fish10_PondTime,140.927
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,230
Pond1Fish10_TimeLeft,986.31
Pond1_GiveUpTime,1.243
Pond1_PondTime,142.075
