,Angie 
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.166
Pond2Fish8_PondTime,66.424
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,140
Pond2Fish8_TimeLeft,1033.728
Pond2_Type,RD
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.137
Pond2Fish9_PondTime,74.787
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,152
Pond2Fish9_TimeLeft,1025.365
Pond2_Type,RD
Pond2Fish10_FishType,gray
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.453
Pond2Fish10_PondTime,83.818
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,154
Pond2Fish10_TimeLeft,1016.334
Pond2_Type,RD
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.438
Pond2Fish11_PondTime,93.683
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,166
Pond2Fish11_TimeLeft,1006.469
Pond2_Type,RD
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.339
Pond2Fish12_PondTime,104.613
Pond2Fish12_PondOutcome,124
Pond2Fish12_TotalOutcome,178
Pond2Fish12_TimeLeft,995.539
Pond2_Type,RD
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.388
Pond2Fish13_PondTime,116.979
Pond2Fish13_PondOutcome,136
Pond2Fish13_TotalOutcome,190
Pond2Fish13_TimeLeft,983.173
Pond2_Type,RD
Pond2Fish14_FishType,purple
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,1.251
Pond2Fish14_PondTime,131.343
Pond2Fish14_PondOutcome,148
Pond2Fish14_TotalOutcome,202
Pond2Fish14_TimeLeft,968.809
Pond2_GiveUpTime,1.527
Pond2_PondTime,132.718
Pond2_PondOutcome,148
Pond2_TotalOutcome,202
Pond2_TimeLeft,967.434
Pond6IntroTime,17.116477095987648
Pond6_Type,RD
Pond6Fish1_FishType,gray
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.365
Pond6Fish1_PondTime,25.334
Pond6Fish1_PondOutcome,2
Pond6Fish1_TotalOutcome,204
Pond6Fish1_TimeLeft,942.1
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.206
Pond6Fish2_PondTime,31.233
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,216
Pond6Fish2_TimeLeft,936.201
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.328
Pond6Fish3_PondTime,37.349
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,228
Pond6Fish3_TimeLeft,930.085
Pond6_Type,RD
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.298
Pond6Fish4_PondTime,43.715
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,240
Pond6Fish4_TimeLeft,923.719
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.09
Pond6Fish5_PondTime,50.363
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,252
Pond6Fish5_TimeLeft,917.07
Pond6_Type,RD
Pond6Fish6_FishType,purple
