,taly1
PlayerDetails,taly1
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 15:53:26 GMT+0200 (Israel Standard Time)
Pond11_Type,RD
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.212
Pond11Fish1_PondTime,6.863
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1193.133
Pond11_Type,RD
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,14.741
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,12
Pond11Fish2_TimeLeft,1185.255
Pond11_Type,RD
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.092
Pond11Fish3_PondTime,23.108
Pond11Fish3_PondOutcome,24
Pond11Fish3_TotalOutcome,24
Pond11Fish3_TimeLeft,1176.887
Pond11_Type,RD
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.53
Pond11Fish4_PondTime,32.142
Pond11Fish4_PondOutcome,36
Pond11Fish4_TotalOutcome,36
Pond11Fish4_TimeLeft,1167.854
Pond11_Type,RD
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.44
Pond11Fish5_PondTime,42.007
Pond11Fish5_PondOutcome,48
Pond11Fish5_TotalOutcome,48
Pond11Fish5_TimeLeft,1157.989
Pond11_Type,RD
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.171
Pond11Fish6_PondTime,52.94
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,60
Pond11Fish6_TimeLeft,1147.056
Pond11_GiveUpTime,0.803
Pond11_PondTime,65.709
Pond11_PondOutcome,60
Pond11_TotalOutcome,60
Pond11_TimeLeft,1134.287
Pond8IntroTime,15.89419841999188
Pond8_Type,RD
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,24.614
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,72
Pond8Fish1_TimeLeft,1109.673
Pond8_Type,RD
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,31.03
Pond8Fish2_PondOutcome,12
Pond8Fish2_TotalOutcome,72
Pond8Fish2_TimeLeft,1103.257
Pond8_Type,RD
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.978
Pond8Fish3_PondTime,37.68
Pond8Fish3_PondOutcome,24
Pond8Fish3_TotalOutcome,84
Pond8Fish3_TimeLeft,1096.607
Pond8_Type,RD
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.043
Pond8Fish4_PondTime,44.664
Pond8Fish4_PondOutcome,36
Pond8Fish4_TotalOutcome,96
Pond8Fish4_TimeLeft,1089.623
Pond8_Type,RD
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.373
Pond8Fish5_PondTime,52.031
Pond8Fish5_PondOutcome,38
Pond8Fish5_TotalOutcome,98
Pond8Fish5_TimeLeft,1082.256
Pond8_Type,RD
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.053
Pond8Fish6_PondTime,59.846
Pond8Fish6_PondOutcome,50
Pond8Fish6_TotalOutcome,110
Pond8Fish6_TimeLeft,1074.441
Pond8_Type,RD
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,0.917
Pond8Fish7_PondTime,68.215
Pond8Fish7_PondOutcome,62
Pond8Fish7_TotalOutcome,122
Pond8Fish7_TimeLeft,1066.072
Pond8_GiveUpTime,0.983
Pond8_PondTime,68.726
Pond8_PondOutcome,62
Pond8_TotalOutcome,122
Pond8_TimeLeft,1065.561
Pond1IntroTime,12.805747280362993
