,5c93bbc8cda9c500170b22c5
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,888
Pond2Fish7_TimeLeft,165.95
Pond2_Type,RD
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.216
Pond2Fish8_PondTime,68.184
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,900
Pond2Fish8_TimeLeft,158.139
Pond2_Type,RD
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.011
Pond2Fish9_PondTime,76.54
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,912
Pond2Fish9_TimeLeft,149.783
Pond2_Type,RD
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.096
Pond2Fish10_PondTime,85.584
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,924
Pond2Fish10_TimeLeft,140.739
Pond2_GiveUpTime,0.864
Pond2_PondTime,86.144
Pond2_PondOutcome,120
Pond2_TotalOutcome,924
Pond2_TimeLeft,140.179
Pond8IntroTime,10.67530054366216
Pond8_Type,RD
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.056
Pond8Fish1_PondTime,19.352
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,936
Pond8Fish1_TimeLeft,120.827
Pond8_Type,RD
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.073
Pond8Fish2_PondTime,25.71
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,948
Pond8Fish2_TimeLeft,114.469
Pond8_Type,RD
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.48
Pond8Fish3_PondTime,32.353
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,960
Pond8Fish3_TimeLeft,107.826
Pond8_Type,RD
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.391
Pond8Fish4_PondTime,39.331
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,972
Pond8Fish4_TimeLeft,100.848
Pond8_Type,RD
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.061
Pond8Fish5_PondTime,46.692
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,984
Pond8Fish5_TimeLeft,93.487
Pond8_Type,RD
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.011
Pond8Fish6_PondTime,54.516
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,996
Pond8Fish6_TimeLeft,85.663
Pond8_Type,RD
Pond8Fish7_FishType,gray
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.039
Pond8Fish7_PondTime,62.873
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,998
Pond8Fish7_TimeLeft,77.306
Pond8_Type,RD
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,0.966
Pond8Fish8_PondTime,71.897
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,1000
Pond8Fish8_TimeLeft,68.282
Pond8_Type,RD
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.19
Pond8Fish9_PondTime,81.755
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,1012
Pond8Fish9_TimeLeft,58.424
Pond8_Type,RD
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,0.826
Pond8Fish10_PondTime,92.693
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,1024
Pond8Fish10_TimeLeft,47.486
Pond8_Type,RD
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,8.571428571428571
Pond8Fish11_CatchTime,1.12
Pond8Fish11_PondTime,105.063
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,1036
Pond8Fish11_TimeLeft,35.115
Pond8_Type,RD
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,10
Pond8Fish12_CatchTime,1.089
Pond8Fish12_PondTime,119.431
Pond8Fish12_PondOutcome,124
Pond8Fish12_TotalOutcome,1048
Pond8Fish12_TimeLeft,20.748
Pond8_Type,RD
Pond8Fish13_FishType,gray
Pond8Fish13_FishLatency,12
Pond8Fish13_CatchTime,1.395
Pond8Fish13_PondTime,136.796
Pond8Fish13_PondOutcome,126
Pond8Fish13_TotalOutcome,1050
Pond8Fish13_TimeLeft,3.383
Pond8_GiveUpTime,1.486
Pond8_PondTime,138.281
Pond8_PondOutcome,126
Pond8_TotalOutcome,1050
Pond8_TimeLeft,1.898
Pond11IntroTime,14.882762141060084
