,5bd88c215d5a010001c1738b
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.031
Pond5Fish4_PondTime,38.999
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,172
Pond5Fish4_TimeLeft,933.617
Pond5_Type,RD
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.943
Pond5Fish5_PondTime,46.383
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,184
Pond5Fish5_TimeLeft,926.233
Pond5_Type,RD
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.837
Pond5Fish6_PondTime,54.213
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,196
Pond5Fish6_TimeLeft,918.403
Pond5_Type,RD
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.034
Pond5Fish7_PondTime,62.596
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,208
Pond5Fish7_TimeLeft,910.02
Pond5_Type,RD
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.578
Pond5Fish8_PondTime,71.631
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,220
Pond5Fish8_TimeLeft,900.985
Pond5_Type,RD
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.031
Pond5Fish9_PondTime,81.512
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,232
Pond5Fish9_TimeLeft,891.104
Pond5_Type,RD
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.078
Pond5Fish10_PondTime,92.466
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,244
Pond5Fish10_TimeLeft,880.15
Pond5_Type,RD
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.167
Pond5Fish11_PondTime,104.845
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,256
Pond5Fish11_TimeLeft,867.771
Pond5_Type,RD
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,1.194
Pond5Fish12_PondTime,119.231
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,268
Pond5Fish12_TimeLeft,853.385
Pond5_Type,RD
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,12
Pond5Fish13_CatchTime,1.264
Pond5Fish13_PondTime,136.613
Pond5Fish13_PondOutcome,146
Pond5Fish13_TotalOutcome,280
Pond5Fish13_TimeLeft,836.003
Pond5_Type,RD
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,15
Pond5Fish14_CatchTime,1.13
Pond5Fish14_PondTime,158.993
Pond5Fish14_PondOutcome,158
Pond5Fish14_TotalOutcome,292
Pond5Fish14_TimeLeft,813.623
Pond5_Type,RD
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,20
Pond5Fish15_CatchTime,1.301
Pond5Fish15_PondTime,191.377
Pond5Fish15_PondOutcome,170
Pond5Fish15_TotalOutcome,304
Pond5Fish15_TimeLeft,781.239
Pond5_Type,RD
Pond5Fish16_FishType,purple
Pond5Fish16_FishLatency,30
Pond5Fish16_CatchTime,1.212
Pond5Fish16_PondTime,253.759
Pond5Fish16_PondOutcome,182
Pond5Fish16_TotalOutcome,316
Pond5Fish16_TimeLeft,718.857
Pond5_Type,RD
Pond5Fish17_FishType,purple
Pond5Fish17_FishLatency,60
Pond5Fish17_CatchTime,1.198
Pond5Fish17_PondTime,256.139
Pond5Fish17_PondOutcome,194
Pond5Fish17_TotalOutcome,328
Pond5Fish17_TimeLeft,716.477
Pond5_GiveUpTime,156.452
Pond5_PondTime,412.391
Pond5_PondOutcome,194
Pond5_TotalOutcome,328
Pond5_TimeLeft,560.225
Pond4IntroTime,12.624858799390495
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.16
Pond4Fish1_PondTime,20.893
