,5d1c6892ab2b52001830e8b1
Pond3Fish2_TimeLeft,1030.056
Pond3_Type,RD
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.785
Pond3Fish3_PondTime,42.424
Pond3Fish3_PondOutcome,2
Pond3Fish3_TotalOutcome,158
Pond3Fish3_TimeLeft,1022.219
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.815
Pond3Fish4_PondTime,50.799
Pond3Fish4_PondOutcome,14
Pond3Fish4_TotalOutcome,170
Pond3Fish4_TimeLeft,1013.846
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.899
Pond3Fish5_PondTime,59.844
Pond3Fish5_PondOutcome,26
Pond3Fish5_TotalOutcome,182
Pond3Fish5_TimeLeft,1004.801
Pond3_Type,RD
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.682
Pond3Fish6_PondTime,69.714
Pond3Fish6_PondOutcome,38
Pond3Fish6_TotalOutcome,194
Pond3Fish6_TimeLeft,994.931
Pond3_Type,RD
Pond3Fish7_FishType,gray
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.094
Pond3Fish7_PondTime,80.668
Pond3Fish7_PondOutcome,40
Pond3Fish7_TotalOutcome,196
Pond3Fish7_TimeLeft,983.977
Pond3_Type,RD
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.85
Pond3Fish8_PondTime,93.048
Pond3Fish8_PondOutcome,52
Pond3Fish8_TotalOutcome,208
Pond3Fish8_TimeLeft,971.597
Pond3_Type,RD
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.99
Pond3Fish9_PondTime,107.428
Pond3Fish9_PondOutcome,54
Pond3Fish9_TotalOutcome,210
Pond3Fish9_TimeLeft,957.217
Pond3_Type,RD
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,-1
Pond3Fish10_PondTime,129.354
Pond3Fish10_PondOutcome,54
Pond3Fish10_TotalOutcome,210
Pond3Fish10_TimeLeft,935.291
Pond3_Type,RD
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,-1
Pond3Fish11_PondTime,158.354
Pond3Fish11_PondOutcome,54
Pond3Fish11_TotalOutcome,210
Pond3Fish11_TimeLeft,906.291
Pond3_GiveUpTime,63.403
Pond3_PondTime,170.428
Pond3_PondOutcome,54
Pond3_TotalOutcome,210
Pond3_TimeLeft,894.217
Pond4IntroTime,19.854326429776847
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.818
Pond4Fish1_PondTime,32.439
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,222
Pond4Fish1_TimeLeft,861.778
Pond4_Type,RD
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.022
Pond4Fish2_PondTime,40.927
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,234
Pond4Fish2_TimeLeft,853.289
Pond4_Type,RD
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.711
Pond4Fish3_PondTime,49.928
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,246
Pond4Fish3_TimeLeft,844.289
Pond4_Type,RD
Pond4Fish4_FishType,gray
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.512
Pond4Fish4_PondTime,58.677
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,248
Pond4Fish4_TimeLeft,835.54
Pond4_Type,RD
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.108
Pond4Fish5_PondTime,66.925
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,260
Pond4Fish5_TimeLeft,827.292
Pond4_Type,RD
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.411
Pond4Fish6_PondTime,75.717
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,272
Pond4Fish6_TimeLeft,818.5
Pond4_Type,RD
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.246
Pond4Fish7_PondTime,83.799
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,284
Pond4Fish7_TimeLeft,810.418
Pond4_Type,RD
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.892
Pond4Fish8_PondTime,91.83
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,296
Pond4Fish8_TimeLeft,802.387
Pond4_Type,RD
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.949
Pond4Fish9_PondTime,100.904
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,308
Pond4Fish9_TimeLeft,793.313
Pond4_Type,RD
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.129
Pond4Fish10_PondTime,111.98
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,320
Pond4Fish10_TimeLeft,782.237
Pond4_Type,RD
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.971
Pond4Fish11_PondTime,124.925
Pond4Fish11_PondOutcome,122
Pond4Fish11_TotalOutcome,332
Pond4Fish11_TimeLeft,769.292
Pond4_Type,RD
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.996
Pond4Fish12_PondTime,139.924
Pond4Fish12_PondOutcome,134
Pond4Fish12_TotalOutcome,344
Pond4Fish12_TimeLeft,754.293
Pond4_Type,RD
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,0.878
Pond4Fish13_PondTime,153.189
Pond4Fish13_PondOutcome,146
Pond4Fish13_TotalOutcome,356
Pond4Fish13_TimeLeft,741.028
Pond4_Type,RD
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,0.989
Pond4Fish14_PondTime,168.926
Pond4Fish14_PondOutcome,158
Pond4Fish14_TotalOutcome,368
Pond4Fish14_TimeLeft,725.291
Pond4_Type,RD
Pond4Fish15_FishType,purple
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,0.96
Pond4Fish15_PondTime,188.907
Pond4Fish15_PondOutcome,170
Pond4Fish15_TotalOutcome,380
Pond4Fish15_TimeLeft,705.31
Pond4_Type,RD
Pond4Fish16_FishType,purple
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,-1
Pond4Fish16_PondTime,215.093
Pond4Fish16_PondOutcome,170
Pond4Fish16_TotalOutcome,380
Pond4Fish16_TimeLeft,679.124
