,5dc3ebd9d0b86f2c8dc18c30
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.021
Pond11Fish2_PondTime,31.068
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,180
Pond11Fish2_TimeLeft,1045.359
Pond11_Type,RD
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,-1
Pond11Fish3_PondTime,39.485
Pond11Fish3_PondOutcome,24
Pond11Fish3_TotalOutcome,180
Pond11Fish3_TimeLeft,1036.942
Pond11_Type,RD
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.135
Pond11Fish4_PondTime,48.518
Pond11Fish4_PondOutcome,36
Pond11Fish4_TotalOutcome,192
Pond11Fish4_TimeLeft,1027.909
Pond11_Type,RD
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.213
Pond11Fish5_PondTime,58.385
Pond11Fish5_PondOutcome,48
Pond11Fish5_TotalOutcome,204
Pond11Fish5_TimeLeft,1018.042
Pond11_Type,RD
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.783
Pond11Fish6_PondTime,69.318
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,216
Pond11Fish6_TimeLeft,1007.109
Pond11_Type,RD
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.258
Pond11Fish7_PondTime,81.684
Pond11Fish7_PondOutcome,72
Pond11Fish7_TotalOutcome,228
Pond11Fish7_TimeLeft,994.743
Pond11_Type,RD
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,0.918
Pond11Fish8_PondTime,96.051
Pond11Fish8_PondOutcome,84
Pond11Fish8_TotalOutcome,240
Pond11Fish8_TimeLeft,980.376
Pond11_GiveUpTime,1.091
Pond11_PondTime,96.673
Pond11_PondOutcome,84
Pond11_TotalOutcome,240
Pond11_TimeLeft,979.754
Pond12IntroTime,12.069823332130909
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.877
Pond12Fish1_PondTime,20.963
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,252
Pond12Fish1_TimeLeft,958.791
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.55
Pond12Fish2_PondTime,27.613
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,264
Pond12Fish2_TimeLeft,952.141
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.241
Pond12Fish3_PondTime,34.593
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,276
Pond12Fish3_TimeLeft,945.161
Pond12_Type,RD
Pond12Fish4_FishType,purple
