,5c8e8032b828c80018fde80c
Pond2Fish2_CatchTime,1.45
Pond2Fish2_PondTime,28.966
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,170
Pond2Fish2_TimeLeft,1029.742
Pond2_Type,RD
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.182
Pond2Fish3_PondTime,35.09
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,182
Pond2Fish3_TimeLeft,1023.618
Pond2_Type,RD
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.383
Pond2Fish4_PondTime,41.466
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,194
Pond2Fish4_TimeLeft,1017.242
Pond2_Type,RD
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.095
Pond2Fish5_PondTime,48.116
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,206
Pond2Fish5_TimeLeft,1010.592
Pond2_Type,RD
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.46
Pond2Fish6_PondTime,55.099
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,218
Pond2Fish6_TimeLeft,1003.609
Pond2_Type,RD
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.905
Pond2Fish7_PondTime,62.466
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,230
Pond2Fish7_TimeLeft,996.242
Pond2_Type,RD
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.27
Pond2Fish8_PondTime,70.299
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,242
Pond2Fish8_TimeLeft,988.409
Pond2_Type,RD
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.492
Pond2Fish9_PondTime,78.665
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,254
Pond2Fish9_TimeLeft,980.043
Pond2_GiveUpTime,0.779
Pond2_PondTime,88.061
Pond2_PondOutcome,108
Pond2_TotalOutcome,254
Pond2_TimeLeft,970.647
Pond6IntroTime,15.8763955719769
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.374
Pond6Fish1_PondTime,24.114
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,266
Pond6Fish1_TimeLeft,946.533
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.31
Pond6Fish2_PondTime,30.004
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,278
Pond6Fish2_TimeLeft,940.643
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.313
Pond6Fish3_PondTime,36.125
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,290
Pond6Fish3_TimeLeft,934.522
Pond6_Type,RD
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.352
Pond6Fish4_PondTime,42.496
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,302
Pond6Fish4_TimeLeft,928.151
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.209
Pond6Fish5_PondTime,49.159
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,314
Pond6Fish5_TimeLeft,921.488
Pond6_Type,RD
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.375
Pond6Fish6_PondTime,56.137
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,326
Pond6Fish6_TimeLeft,914.51
Pond6_Type,RD
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.344
Pond6Fish7_PondTime,63.508
