,5ccb2a1a3b044800015bc1dc
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.047
Pond12Fish4_PondTime,44.282
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,1006
Pond12Fish4_TimeLeft,217.021
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.305
Pond12Fish5_PondTime,52.137
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,1018
Pond12Fish5_TimeLeft,209.167
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.059
Pond12Fish6_PondTime,60.502
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,1030
Pond12Fish6_TimeLeft,200.802
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.341
Pond12Fish7_PondTime,69.54
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,1042
Pond12Fish7_TimeLeft,191.764
Pond12_Type,RD
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.873
Pond12Fish8_PondTime,79.416
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,1054
Pond12Fish8_TimeLeft,181.887
Pond12_Type,RD
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.065
Pond12Fish9_PondTime,90.353
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,1066
Pond12Fish9_TimeLeft,170.95
Pond12_Type,RD
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.131
Pond12Fish10_PondTime,102.766
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,1078
Pond12Fish10_TimeLeft,158.538
Pond12_Type,RD
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,0.902
Pond12Fish11_PondTime,117.13
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,1090
Pond12Fish11_TimeLeft,144.174
Pond12_GiveUpTime,0.568
Pond12_PondTime,134.529
Pond12_PondOutcome,132
Pond12_TotalOutcome,1090
Pond12_TimeLeft,126.775
Pond4IntroTime,14.340821579098701
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.955
Pond4Fish1_PondTime,22.631
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,1102
Pond4Fish1_TimeLeft,104.144
Pond4_Type,RD
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.163
Pond4Fish2_PondTime,28.547
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,1114
Pond4Fish2_TimeLeft,98.228
Pond4_Type,RD
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.142
Pond4Fish3_PondTime,34.679
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,1126
Pond4Fish3_TimeLeft,92.095
Pond4_Type,RD
Pond4Fish4_FishType,gray
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.944
Pond4Fish4_PondTime,41.056
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,1128
Pond4Fish4_TimeLeft,85.719
Pond4_Type,RD
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.972
Pond4Fish5_PondTime,47.757
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,1140
Pond4Fish5_TimeLeft,79.018
Pond4_Type,RD
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.896
Pond4Fish6_PondTime,54.746
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,1152
Pond4Fish6_TimeLeft,72.029
Pond4_Type,RD
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.782
Pond4Fish7_PondTime,62.138
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,1164
Pond4Fish7_TimeLeft,64.637
Pond4_Type,RD
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.066
Pond4Fish8_PondTime,69.96
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,1176
Pond4Fish8_TimeLeft,56.815
Pond4_Type,RD
Pond4Fish9_FishType,gray
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.103
Pond4Fish9_PondTime,78.321
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,1178
Pond4Fish9_TimeLeft,48.454
Pond4_Type,RD
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.076
Pond4Fish10_PondTime,87.346
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,1190
Pond4Fish10_TimeLeft,39.429
Pond4_Type,RD
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.924
Pond4Fish11_PondTime,97.221
Pond4Fish11_PondOutcome,112
Pond4Fish11_TotalOutcome,1202
Pond4Fish11_TimeLeft,29.553
Pond4_Type,RD
Pond4Fish12_FishType,gray
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.854
Pond4Fish12_PondTime,108.177
Pond4Fish12_PondOutcome,114
Pond4Fish12_TotalOutcome,1204
Pond4Fish12_TimeLeft,18.598
Pond4_Type,RD
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.235
Pond4Fish13_PondTime,120.541
Pond4Fish13_PondOutcome,126
Pond4Fish13_TotalOutcome,1216
Pond4Fish13_TimeLeft,6.234
