,taly3
PlayerDetails,taly3
GameCompleted,exited
GameTime,300
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0.5
RD_GoldFishOutcome,1
RD_BlueFishProbability,0.5
RD_BlueFishOutcome,2
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.5
RT_PurpleFishOutcome,3
RT_GreyFishProbability,0.5
RT_GreyFishOutcome,4
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,20
Pond2Type,RD
Pond2FishN,20
Pond3Type,RD
Pond3FishN,20
Pond4Type,RT
Pond4FishN,20
Pond5Type,RT
Pond5FishN,20
Pond6Type,RD
Pond6FishN,20
Pond7Type,RT
Pond7FishN,20
Pond8Type,N
Pond8FishN,20
Pond9Type,N
Pond9FishN,20
Pond10Type,N
Pond10FishN,20
Pond11Type,N
Pond11FishN,20
Pond12Type,N
Pond12FishN,20
Date:,Thu Sep 26 2019 11:50:37 GMT+0300 (Israel Daylight Time)
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.118
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,7.264
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,290.733
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.955
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,14.689
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,22
Pond1Fish2_TimeLeft,283.308
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,-1
Pond1Fish3_GiveUpTime,0.671
Pond1Fish3_PondTime,20.815
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,22
Pond1Fish3_TimeLeft,277.182
Pond2IntroTime,6.108469991013408
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.953
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,37.741
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,33
Pond2Fish1_TimeLeft,260.256
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.802
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,45.171
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,44
Pond2Fish2_TimeLeft,252.826
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,-1
Pond2Fish3_GiveUpTime,0.734
Pond2Fish3_PondTime,50.629
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,44
Pond2Fish3_TimeLeft,247.368
