,5c4dd1ad620ba700010c3ff2
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.708
Pond8Fish4_PondTime,52.21
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,160
Pond8Fish4_TimeLeft,979.167
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.44
Pond8Fish5_PondTime,63.158
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,170
Pond8Fish5_TimeLeft,968.219
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.927
Pond8Fish6_PondTime,75.543
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,180
Pond8Fish6_TimeLeft,955.834
Pond8_Type,RT
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.1
Pond8Fish7_PondTime,89.917
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,190
Pond8Fish7_TimeLeft,941.46
Pond8_Type,RT
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,0.895
Pond8Fish8_PondTime,107.288
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,200
Pond8Fish8_TimeLeft,924.089
Pond8_Type,RT
Pond8Fish9_FishType,golden
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,-1
Pond8Fish9_PondTime,129.718
Pond8Fish9_PondOutcome,80
Pond8Fish9_TotalOutcome,200
Pond8Fish9_TimeLeft,901.659
Pond8_Type,RT
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,20
Pond8Fish10_CatchTime,1.453
Pond8Fish10_PondTime,162.092
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,210
Pond8Fish10_TimeLeft,869.285
Pond8_Type,RT
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,30
Pond8Fish11_CatchTime,1.523
Pond8Fish11_PondTime,224.46
Pond8Fish11_PondOutcome,100
Pond8Fish11_TotalOutcome,220
Pond8Fish11_TimeLeft,806.917
Pond8_Type,RT
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,60
Pond8Fish12_CatchTime,1.579
Pond8Fish12_PondTime,226.853
Pond8Fish12_PondOutcome,110
Pond8Fish12_TotalOutcome,230
Pond8Fish12_TimeLeft,804.524
Pond8_GiveUpTime,122.113
Pond8_PondTime,349.136
Pond8_PondOutcome,110
Pond8_TotalOutcome,230
Pond8_TimeLeft,682.241
Pond6IntroTime,11.852718589361757
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.593
Pond6Fish1_PondTime,21.402
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,240
Pond6Fish1_TimeLeft,660.839
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.896
Pond6Fish2_PondTime,28.769
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,250
Pond6Fish2_TimeLeft,653.472
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.974
Pond6Fish3_PondTime,36.59
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,260
Pond6Fish3_TimeLeft,645.651
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.371
Pond6Fish4_PondTime,44.969
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,270
Pond6Fish4_TimeLeft,637.272
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.056
Pond6Fish5_PondTime,54.015
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,280
Pond6Fish5_TimeLeft,628.226
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.306
Pond6Fish6_PondTime,63.885
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,290
Pond6Fish6_TimeLeft,618.356
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.184
Pond6Fish7_PondTime,74.823
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,300
Pond6Fish7_TimeLeft,607.418
Pond6_Type,RT
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.333
Pond6Fish8_PondTime,87.193
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,310
Pond6Fish8_TimeLeft,595.048
Pond6_Type,RT
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.351
Pond6Fish9_PondTime,101.566
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,320
Pond6Fish9_TimeLeft,580.675
Pond6_Type,RT
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.144
Pond6Fish10_PondTime,118.938
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,330
Pond6Fish10_TimeLeft,563.303
Pond6_Type,RT
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,1.476
Pond6Fish11_PondTime,141.311
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,340
Pond6Fish11_TimeLeft,540.929
Pond6_Type,RT
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,20
Pond6Fish12_CatchTime,1.923
Pond6Fish12_PondTime,173.911
Pond6Fish12_PondOutcome,120
Pond6Fish12_TotalOutcome,350
Pond6Fish12_TimeLeft,508.33
Pond6_GiveUpTime,48.416
Pond6_PondTime,222.613
Pond6_PondOutcome,120
Pond6_TotalOutcome,350
Pond6_TimeLeft,459.628
Pond4IntroTime,19.465013621374965
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.283
Pond4Fish1_PondTime,28.142
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,360
Pond4Fish1_TimeLeft,431.486
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.521
Pond4Fish2_PondTime,34.507
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,370
Pond4Fish2_TimeLeft,425.121
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.271
Pond4Fish3_PondTime,41.171
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,380
Pond4Fish3_TimeLeft,418.457
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
