,5d9674841b7e120018c4cb5d
Pond12IntroTime,17.384911221452057
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.106
Pond12Fish1_PondTime,26.607
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,930
Pond12Fish1_TimeLeft,127.095
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.804
Pond12Fish2_PondTime,33.708
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,940
Pond12Fish2_TimeLeft,119.994
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,2.04
Pond12Fish3_PondTime,41.147
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,950
Pond12Fish3_TimeLeft,112.555
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.676
Pond12Fish4_PondTime,48.992
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,960
Pond12Fish4_TimeLeft,104.709
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.296
Pond12Fish5_PondTime,57.386
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,970
Pond12Fish5_TimeLeft,96.315
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.814
Pond12Fish6_PondTime,66.553
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,980
Pond12Fish6_TimeLeft,87.149
Pond12_Type,RT
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,-1
Pond12Fish7_PondTime,76.492
Pond12Fish7_PondOutcome,60
Pond12Fish7_TotalOutcome,980
Pond12Fish7_TimeLeft,77.21
Pond12_Type,RT
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.23
Pond12Fish8_PondTime,87.453
Pond12Fish8_PondOutcome,70
Pond12Fish8_TotalOutcome,990
Pond12Fish8_TimeLeft,66.249
Pond12_GiveUpTime,1.147
Pond12_PondTime,88.418
Pond12_PondOutcome,70
Pond12_TotalOutcome,990
Pond12_TimeLeft,65.284
Pond2IntroTime,15.411351332440972
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.336
Pond2Fish1_PondTime,24.95
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,1000
Pond2Fish1_TimeLeft,40.334
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,32.39
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,1000
Pond2Fish2_TimeLeft,32.894
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.615
Pond2Fish3_PondTime,40.241
Pond2Fish3_PondOutcome,20
Pond2Fish3_TotalOutcome,1010
Pond2Fish3_TimeLeft,25.043
Pond2_Type,RT
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.336
Pond2Fish4_PondTime,48.628
Pond2Fish4_PondOutcome,30
Pond2Fish4_TotalOutcome,1020
Pond2Fish4_TimeLeft,16.655
Pond2_Type,RT
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,-1
Pond2Fish5_PondTime,57.725
Pond2Fish5_PondOutcome,30
Pond2Fish5_TotalOutcome,1020
Pond2Fish5_TimeLeft,7.559
