,5d88ceb2dec2a500155d5ce1
Pond7Fish2_CatchTime,0.678
Pond7Fish2_PondTime,35.998
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,940
Pond7Fish2_TimeLeft,86.364
Pond7_Type,RT
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.659
Pond7Fish3_PondTime,45.044
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,950
Pond7Fish3_TimeLeft,77.318
Pond7_Type,RT
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.678
Pond7Fish4_PondTime,54.913
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,960
Pond7Fish4_TimeLeft,67.449
Pond7_Type,RT
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.634
Pond7Fish5_PondTime,65.868
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,970
Pond7Fish5_TimeLeft,56.494
Pond7_Type,RT
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.872
Pond7Fish6_PondTime,78.244
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,980
Pond7Fish6_TimeLeft,44.117
Pond7_Type,RT
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.79
Pond7Fish7_PondTime,92.62
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,990
Pond7Fish7_TimeLeft,29.742
Pond7_GiveUpTime,0.493
Pond7_PondTime,109.896
Pond7_PondOutcome,70
Pond7_TotalOutcome,990
Pond7_TimeLeft,12.466
Pond12IntroTime,12.869160883128643
