,5d17acf5f0b3c1001a263d57
PlayerDetails,5d17acf5f0b3c1001a263d57
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 10:12:06 GMT+0000 (GMT)
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.129
Pond12Fish1_PondTime,6.157
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1193.84
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.941
Pond12Fish2_PondTime,13.141
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,20
Pond12Fish2_TimeLeft,1186.857
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.28
Pond12Fish3_PondTime,20.508
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,30
Pond12Fish3_TimeLeft,1179.49
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.261
Pond12Fish4_PondTime,28.325
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,40
Pond12Fish4_TimeLeft,1171.673
Pond12_Type,RT
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.957
Pond12Fish5_PondTime,36.694
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,60
Pond12Fish5_TimeLeft,1163.304
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.099
Pond12Fish6_PondTime,45.727
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,70
Pond12Fish6_TimeLeft,1154.271
Pond12_Type,RT
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.968
Pond12Fish7_PondTime,55.596
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,80
Pond12Fish7_TimeLeft,1144.402
Pond12_Type,RT
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.901
Pond12Fish8_PondTime,66.529
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,90
Pond12Fish8_TimeLeft,1133.469
Pond12_GiveUpTime,9.65
Pond12_PondTime,75.694
Pond12_PondOutcome,90
Pond12_TotalOutcome,90
Pond12_TimeLeft,1124.303
Pond5IntroTime,12.279290459118783
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.28
Pond5Fish1_PondTime,20.504
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,100
Pond5Fish1_TimeLeft,1103.799
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.252
Pond5Fish2_PondTime,26.405
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,110
Pond5Fish2_TimeLeft,1097.898
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.963
Pond5Fish3_PondTime,32.521
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,120
Pond5Fish3_TimeLeft,1091.782
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.744
Pond5Fish4_PondTime,38.889
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,130
Pond5Fish4_TimeLeft,1085.414
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.863
Pond5Fish5_PondTime,45.541
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,140
Pond5Fish5_TimeLeft,1078.762
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.93
Pond5Fish6_PondTime,52.524
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,150
Pond5Fish6_TimeLeft,1071.779
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.03
Pond5Fish7_PondTime,59.891
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,160
Pond5Fish7_TimeLeft,1064.412
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.058
Pond5Fish8_PondTime,67.709
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,170
Pond5Fish8_TimeLeft,1056.592
Pond5_Type,RT
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.15
Pond5Fish9_PondTime,76.077
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,180
Pond5Fish9_TimeLeft,1048.226
Pond5_GiveUpTime,0.748
Pond5_PondTime,76.588
Pond5_PondOutcome,90
Pond5_TotalOutcome,180
Pond5_TimeLeft,1047.715
Pond4IntroTime,19.62258734740317
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.621
Pond4Fish1_PondTime,28.275
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,190
Pond4Fish1_TimeLeft,1019.44
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.754
Pond4Fish2_PondTime,34.641
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,200
Pond4Fish2_TimeLeft,1013.074
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.787
Pond4Fish3_PondTime,41.393
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,210
Pond4Fish3_TimeLeft,1006.321
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.903
Pond4Fish4_PondTime,48.378
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,220
Pond4Fish4_TimeLeft,999.337
Pond4_Type,RT
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.988
Pond4Fish5_PondTime,55.744
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,230
Pond4Fish5_TimeLeft,991.971
Pond4_Type,RT
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.124
Pond4Fish6_PondTime,63.561
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,240
Pond4Fish6_TimeLeft,984.154
Pond4_Type,RT
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.056
Pond4Fish7_PondTime,71.929
Pond4Fish7_PondOutcome,70
