,5d5a8f6838501c0017eff626
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.157
Pond6Fish4_PondTime,49.989
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,130
Pond6Fish4_TimeLeft,1059.453
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.078
Pond6Fish5_PondTime,59.019
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,140
Pond6Fish5_TimeLeft,1050.423
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.82
Pond6Fish6_PondTime,68.886
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,150
Pond6Fish6_TimeLeft,1040.556
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.871
Pond6Fish7_PondTime,79.818
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,160
Pond6Fish7_TimeLeft,1029.624
Pond6_GiveUpTime,0.53
Pond6_PondTime,92.174
Pond6_PondOutcome,80
Pond6_TotalOutcome,160
Pond6_TimeLeft,1017.268
Pond11IntroTime,17.77863232884556
Pond11_Type,RT
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.859
Pond11Fish1_PondTime,27.328
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,170
Pond11Fish1_TimeLeft,989.94
Pond11_Type,RT
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.8
Pond11Fish2_PondTime,34.691
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,180
Pond11Fish2_TimeLeft,982.577
Pond11_Type,RT
Pond11Fish3_FishType,golden
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.839
Pond11Fish3_PondTime,42.514
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,200
Pond11Fish3_TimeLeft,974.754
Pond11_Type,RT
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.787
Pond11Fish4_PondTime,50.873
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,210
Pond11Fish4_TimeLeft,966.395
Pond11_Type,RT
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.017
Pond11Fish5_PondTime,59.91
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,220
Pond11Fish5_TimeLeft,957.358
Pond11_Type,RT
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.418
Pond11Fish6_PondTime,69.788
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,230
Pond11Fish6_TimeLeft,947.48
Pond11_Type,RT
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,0.629
Pond11Fish7_PondTime,80.723
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,240
Pond11Fish7_TimeLeft,936.545
Pond11_Type,RT
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.155
Pond11Fish8_PondTime,93.084
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,250
Pond11Fish8_TimeLeft,924.184
Pond11_GiveUpTime,0.923
Pond11_PondTime,93.771
Pond11_PondOutcome,90
Pond11_TotalOutcome,250
Pond11_TimeLeft,923.497
Pond3IntroTime,15.468986863270402
Pond3_Type,RT
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.91
Pond3Fish1_PondTime,23.722
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,270
Pond3Fish1_TimeLeft,899.775
Pond3_Type,RT
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.925
Pond3Fish2_PondTime,29.61
Pond3Fish2_PondOutcome,40
Pond3Fish2_TotalOutcome,290
Pond3Fish2_TimeLeft,893.886
Pond3_Type,RT
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.03
Pond3Fish3_PondTime,35.734
Pond3Fish3_PondOutcome,50
Pond3Fish3_TotalOutcome,300
Pond3Fish3_TimeLeft,887.762
Pond3_Type,RT
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.783
Pond3Fish4_PondTime,42.1
Pond3Fish4_PondOutcome,60
Pond3Fish4_TotalOutcome,310
Pond3Fish4_TimeLeft,881.397
Pond3_Type,RT
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.741
Pond3Fish5_PondTime,48.743
Pond3Fish5_PondOutcome,70
Pond3Fish5_TotalOutcome,320
Pond3Fish5_TimeLeft,874.754
Pond3_Type,RT
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.565
Pond3Fish6_PondTime,55.726
Pond3Fish6_PondOutcome,80
Pond3Fish6_TotalOutcome,330
Pond3Fish6_TimeLeft,867.771
Pond3_Type,RT
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.779
Pond3Fish7_PondTime,63.089
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,340
Pond3Fish7_TimeLeft,860.408
Pond3_Type,RT
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.93
Pond3Fish8_PondTime,70.909
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,350
Pond3Fish8_TimeLeft,852.588
Pond3_Type,RT
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.753
Pond3Fish9_PondTime,79.268
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,360
Pond3Fish9_TimeLeft,844.229
Pond3_Type,RT
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.994
Pond3Fish10_PondTime,88.309
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,370
Pond3Fish10_TimeLeft,835.188
Pond3_Type,RT
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.897
Pond3Fish11_PondTime,98.187
Pond3Fish11_PondOutcome,130
Pond3Fish11_TotalOutcome,380
Pond3Fish11_TimeLeft,825.31
Pond3_Type,RT
Pond3Fish12_FishType,golden
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.499
Pond3Fish12_PondTime,109.119
Pond3Fish12_PondOutcome,150
Pond3Fish12_TotalOutcome,400
