,5dc1b35262ec5011d591e630
Pond9Fish9_CatchTime,0.86
Pond9Fish9_PondTime,86.906
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,180
Pond9Fish9_TimeLeft,1059.628
Pond9_Type,RT
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.736
Pond9Fish10_PondTime,97.84
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,190
Pond9Fish10_TimeLeft,1048.694
Pond9_GiveUpTime,0.592
Pond9_PondTime,110.499
Pond9_PondOutcome,110
Pond9_TotalOutcome,190
Pond9_TimeLeft,1036.035
Pond12IntroTime,11.923454541247338
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.622
Pond12Fish1_PondTime,21.125
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,200
Pond12Fish1_TimeLeft,1014.91
Pond12_Type,RT
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.601
Pond12Fish2_PondTime,28.108
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,220
Pond12Fish2_TimeLeft,1007.926
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.674
Pond12Fish3_PondTime,35.475
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,230
Pond12Fish3_TimeLeft,1000.56
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.799
Pond12Fish4_PondTime,43.295
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,240
Pond12Fish4_TimeLeft,992.74
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.746
Pond12Fish5_PondTime,51.658
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,250
Pond12Fish5_TimeLeft,984.377
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.846
Pond12Fish6_PondTime,60.691
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,260
Pond12Fish6_TimeLeft,975.344
Pond12_GiveUpTime,0.831
Pond12_PondTime,70.79
Pond12_PondOutcome,70
Pond12_TotalOutcome,260
Pond12_TimeLeft,965.245
Pond8IntroTime,13.637877674773335
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.91
Pond8Fish1_PondTime,24.002
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,270
Pond8Fish1_TimeLeft,941.242
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.089
Pond8Fish2_PondTime,32.37
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,280
Pond8Fish2_TimeLeft,932.875
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.811
Pond8Fish3_PondTime,41.403
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,290
Pond8Fish3_TimeLeft,923.842
Pond8_Type,RT
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.959
Pond8Fish4_PondTime,51.271
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,300
Pond8Fish4_TimeLeft,913.974
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.923
Pond8Fish5_PondTime,62.203
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,310
Pond8Fish5_TimeLeft,903.042
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.728
Pond8Fish6_PondTime,74.57
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,320
Pond8Fish6_TimeLeft,890.675
Pond8_Type,RT
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.832
Pond8Fish7_PondTime,88.937
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,330
Pond8Fish7_TimeLeft,876.308
Pond8_GiveUpTime,0.687
Pond8_PondTime,106.473
Pond8_PondOutcome,70
Pond8_TotalOutcome,330
Pond8_TimeLeft,858.771
Pond10IntroTime,13.57026006327942
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.859
Pond10Fish1_PondTime,22.464
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,340
Pond10Fish1_TimeLeft,836.307
Pond10_Type,RT
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.855
Pond10Fish2_PondTime,29.114
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,350
Pond10Fish2_TimeLeft,829.657
Pond10_Type,RT
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.66
Pond10Fish3_PondTime,36.096
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,360
Pond10Fish3_TimeLeft,822.675
Pond10_Type,RT
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.828
Pond10Fish4_PondTime,43.463
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,380
