,5dc1b35262ec5011d591e630
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,38.415
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,930
Pond5Fish3_TimeLeft,161.286
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.883
Pond5Fish4_PondTime,44.781
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,940
Pond5Fish4_TimeLeft,154.92
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.844
Pond5Fish5_PondTime,51.432
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,950
Pond5Fish5_TimeLeft,148.269
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.812
Pond5Fish6_PondTime,58.417
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,960
Pond5Fish6_TimeLeft,141.284
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.8
Pond5Fish7_PondTime,65.782
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,970
Pond5Fish7_TimeLeft,133.919
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.085
Pond5Fish8_PondTime,73.6
Pond5Fish8_PondOutcome,70
Pond5Fish8_TotalOutcome,980
Pond5Fish8_TimeLeft,126.101
Pond5_Type,RT
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.068
Pond5Fish9_PondTime,81.966
Pond5Fish9_PondOutcome,80
Pond5Fish9_TotalOutcome,990
Pond5Fish9_TimeLeft,117.735
Pond5_Type,RT
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.012
Pond5Fish10_PondTime,91
Pond5Fish10_PondOutcome,90
Pond5Fish10_TotalOutcome,1000
Pond5Fish10_TimeLeft,108.701
Pond5_Type,RT
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.23
Pond5Fish11_PondTime,100.867
Pond5Fish11_PondOutcome,100
Pond5Fish11_TotalOutcome,1010
Pond5Fish11_TimeLeft,98.834
Pond5_Type,RT
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.255
Pond5Fish12_PondTime,111.801
Pond5Fish12_PondOutcome,110
Pond5Fish12_TotalOutcome,1020
Pond5Fish12_TimeLeft,87.9
Pond5_GiveUpTime,1.415
Pond5_PondTime,113.08
Pond5_PondOutcome,110
Pond5_TotalOutcome,1020
Pond5_TimeLeft,86.621
Pond2IntroTime,12.880336698144674
Pond2_Type,RT
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.307
Pond2Fish1_PondTime,22.37
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,1040
Pond2Fish1_TimeLeft,64.251
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.416
Pond2Fish2_PondTime,29.737
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,1050
Pond2Fish2_TimeLeft,56.884
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,37.602
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,1050
Pond2Fish3_TimeLeft,49.019
Pond2_Type,RT
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.154
Pond2Fish4_PondTime,45.971
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,1060
Pond2Fish4_TimeLeft,40.65
Pond2_Type,RT
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.878
Pond2Fish5_PondTime,55.005
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,1070
Pond2Fish5_TimeLeft,31.616
Pond2_Type,RT
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.727
Pond2Fish6_PondTime,64.869
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,1080
Pond2Fish6_TimeLeft,21.752
Pond2_Type,RT
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.895
Pond2Fish7_PondTime,75.803
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,1090
Pond2Fish7_TimeLeft,10.818
