,578b4394ad1a6c0001466a6d
Pond9Fish6_TimeLeft,1076.844
Pond9_Type,RT
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.34
Pond9Fish7_PondTime,71.11
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,130
Pond9Fish7_TimeLeft,1068.43
Pond9_Type,RT
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.683
Pond9Fish8_PondTime,80.207
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,140
Pond9Fish8_TimeLeft,1059.333
Pond9_Type,RT
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.564
Pond9Fish9_PondTime,90.114
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,150
Pond9Fish9_TimeLeft,1049.426
Pond9_Type,RT
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.144
Pond9Fish10_PondTime,101.091
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,160
Pond9Fish10_TimeLeft,1038.449
Pond9_Type,RT
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.068
Pond9Fish11_PondTime,113.492
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,170
Pond9Fish11_TimeLeft,1026.048
Pond9_Type,RT
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.701
Pond9Fish12_PondTime,127.898
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,180
Pond9Fish12_TimeLeft,1011.642
Pond9_GiveUpTime,1.195
Pond9_PondTime,128.405
Pond9_PondOutcome,120
Pond9_TotalOutcome,180
Pond9_TimeLeft,1011.135
Pond12IntroTime,14.896250227466226
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.017
Pond12Fish1_PondTime,24.106
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,190
Pond12Fish1_TimeLeft,987.029
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.052
Pond12Fish2_PondTime,31.095
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,200
Pond12Fish2_TimeLeft,980.04
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.641
Pond12Fish3_PondTime,38.532
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,210
Pond12Fish3_TimeLeft,972.603
Pond12_Type,RT
Pond12Fish4_FishType,golden
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.195
Pond12Fish4_PondTime,46.389
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,230
Pond12Fish4_TimeLeft,964.745
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.25
Pond12Fish5_PondTime,54.756
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,240
Pond12Fish5_TimeLeft,956.379
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.628
Pond12Fish6_PondTime,63.832
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,250
Pond12Fish6_TimeLeft,947.303
Pond12_GiveUpTime,1.201
Pond12_PondTime,74.069
Pond12_PondOutcome,70
Pond12_TotalOutcome,250
Pond12_TimeLeft,937.066
Pond2IntroTime,13.991523541044444
Pond2_Type,RT
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.875
Pond2Fish1_PondTime,23.529
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,270
Pond2Fish1_TimeLeft,913.537
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.989
Pond2Fish2_PondTime,31.2
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,280
Pond2Fish2_TimeLeft,905.866
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.889
Pond2Fish3_PondTime,39.047
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,290
Pond2Fish3_TimeLeft,898.019
Pond2_Type,RT
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.873
Pond2Fish4_PondTime,47.479
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,300
Pond2Fish4_TimeLeft,889.587
Pond2_Type,RT
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.916
Pond2Fish5_PondTime,56.564
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,310
Pond2Fish5_TimeLeft,880.502
Pond2_Type,RT
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.842
Pond2Fish6_PondTime,66.46
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,320
Pond2Fish6_TimeLeft,870.606
Pond2_Type,RT
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.136
Pond2Fish7_PondTime,77.404
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,330
Pond2Fish7_TimeLeft,859.662
Pond2_GiveUpTime,1.199
Pond2_PondTime,90.281
Pond2_PondOutcome,80
Pond2_TotalOutcome,330
Pond2_TimeLeft,846.785
Pond5IntroTime,18.970810086466372
Pond5_Type,RT
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.006
Pond5Fish1_PondTime,27.281
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,350
Pond5Fish1_TimeLeft,819.504
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.692
Pond5Fish2_PondTime,33.213
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,360
Pond5Fish2_TimeLeft,813.572
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.841
