,5b552bd8c09af90001f15749
Pond12_GiveUpTime,4.044
Pond12_PondTime,118.414
Pond12_PondOutcome,110
Pond12_TotalOutcome,170
Pond12_TimeLeft,1043.636
Pond8IntroTime,19.93417374091223
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.968
Pond8Fish1_PondTime,30.29
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,180
Pond8Fish1_TimeLeft,1013.346
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.147
Pond8Fish2_PondTime,38.654
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,190
Pond8Fish2_TimeLeft,1004.982
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.957
Pond8Fish3_PondTime,47.69
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,200
Pond8Fish3_TimeLeft,995.946
Pond8_Type,RT
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.966
Pond8Fish4_PondTime,57.556
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,210
Pond8Fish4_TimeLeft,986.08
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.271
Pond8Fish5_PondTime,68.488
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,220
Pond8Fish5_TimeLeft,975.148
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.285
Pond8Fish6_PondTime,80.853
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,230
Pond8Fish6_TimeLeft,962.783
Pond8_Type,RT
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.117
Pond8Fish7_PondTime,95.22
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,240
Pond8Fish7_TimeLeft,948.416
Pond8_Type,RT
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,0.955
Pond8Fish8_PondTime,112.586
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,250
Pond8Fish8_TimeLeft,931.05
Pond8_Type,RT
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,1.066
Pond8Fish9_PondTime,134.951
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,260
Pond8Fish9_TimeLeft,908.685
Pond8_GiveUpTime,1.59
Pond8_PondTime,136.206
Pond8_PondOutcome,90
Pond8_TotalOutcome,260
Pond8_TimeLeft,907.43
Pond6IntroTime,12.694377424195409
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.893
Pond6Fish1_PondTime,22.195
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,270
Pond6Fish1_TimeLeft,885.235
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.958
Pond6Fish2_PondTime,29.56
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,280
Pond6Fish2_TimeLeft,877.869
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.897
Pond6Fish3_PondTime,37.376
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,290
Pond6Fish3_TimeLeft,870.054
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.985
Pond6Fish4_PondTime,45.742
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,300
Pond6Fish4_TimeLeft,861.688
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.192
Pond6Fish5_PondTime,54.777
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,310
Pond6Fish5_TimeLeft,852.653
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
